C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20131012_20131124.csv
C,Time period: 2013-10-12 to 2013-11-24
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:08:37 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2013-10-12,01,1104.5,1192.6
D,2013-10-12,02,1032.3,1125.7
D,2013-10-12,03,996.4,1087.9
D,2013-10-12,04,957.3,1070.2
D,2013-10-12,05,964.1,1077.4
D,2013-10-12,06,1008.1,1124.9
D,2013-10-12,07,1107.1,1208.4
D,2013-10-12,08,1212.1,1304.4
D,2013-10-12,09,1413.6,1429.4
D,2013-10-12,10,1489.6,1510.1
D,2013-10-12,11,1503.1,1548.9
D,2013-10-12,12,1511.4,1562.3
D,2013-10-12,13,1476.7,1562.2
D,2013-10-12,14,1401.7,1557.6
D,2013-10-12,15,1424.1,1550.3
D,2013-10-12,16,1418.2,1559.5
D,2013-10-12,17,1434.1,1587.0
D,2013-10-12,18,1481.0,1644.5
D,2013-10-12,19,1658.0,1728.7
D,2013-10-12,20,1625.2,1711.4
D,2013-10-12,21,1559.6,1648.4
D,2013-10-12,22,1428.9,1557.5
D,2013-10-12,23,1322.7,1429.4
D,2013-10-12,24,1172.9,1294.3
D,2013-10-13,01,1081.0,1179.7
D,2013-10-13,02,1011.5,1104.8
D,2013-10-13,03,974.6,1065.7
D,2013-10-13,04,955.4,1047.1
D,2013-10-13,05,961.9,1049.2
D,2013-10-13,06,992.8,1079.1
D,2013-10-13,07,1048.2,1137.4
D,2013-10-13,08,1128.5,1210.8
D,2013-10-13,09,1266.3,1332.9
D,2013-10-13,10,1349.1,1424.4
D,2013-10-13,11,1368.3,1469.4
D,2013-10-13,12,1397.5,1487.1
D,2013-10-13,13,1407.0,1482.0
D,2013-10-13,14,1397.7,1473.6
D,2013-10-13,15,1387.5,1461.1
D,2013-10-13,16,1385.8,1470.6
D,2013-10-13,17,1417.8,1505.8
D,2013-10-13,18,1456.8,1565.4
D,2013-10-13,19,1594.6,1691.3
D,2013-10-13,20,1609.2,1686.4
D,2013-10-13,21,1527.7,1635.8
D,2013-10-13,22,1402.2,1524.5
D,2013-10-13,23,1295.0,1393.3
D,2013-10-13,24,1161.4,1260.3
D,2013-10-14,01,1071.2,1162.0
D,2013-10-14,02,1013.5,1104.0
D,2013-10-14,03,984.9,1076.2
D,2013-10-14,04,984.9,1069.5
D,2013-10-14,05,1011.4,1098.0
D,2013-10-14,06,1112.0,1175.8
D,2013-10-14,07,1325.8,1305.2
D,2013-10-14,08,1452.8,1422.8
D,2013-10-14,09,1513.8,1537.1
D,2013-10-14,10,1550.0,1604.6
D,2013-10-14,11,1546.1,1632.4
D,2013-10-14,12,1556.2,1633.3
D,2013-10-14,13,1548.1,1619.5
D,2013-10-14,14,1535.3,1609.9
D,2013-10-14,15,1536.0,1597.2
D,2013-10-14,16,1516.7,1607.6
D,2013-10-14,17,1537.3,1649.7
D,2013-10-14,18,1589.0,1741.1
D,2013-10-14,19,1726.7,1879.4
D,2013-10-14,20,1710.6,1871.3
D,2013-10-14,21,1675.9,1776.7
D,2013-10-14,22,1499.2,1612.8
D,2013-10-14,23,1343.3,1431.9
D,2013-10-14,24,1180.3,1273.9
D,2013-10-15,01,1106.8,1166.5
D,2013-10-15,02,1059.8,1110.4
D,2013-10-15,03,1017.4,1084.3
D,2013-10-15,04,1009.5,1084.3
D,2013-10-15,05,1039.4,1113.7
D,2013-10-15,06,1153.0,1241.9
D,2013-10-15,07,1367.9,1480.4
D,2013-10-15,08,1498.9,1604.4
D,2013-10-15,09,1555.5,1632.8
D,2013-10-15,10,1578.4,1648.4
D,2013-10-15,11,1557.5,1667.3
