C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20140928_20141110.csv
C,Time period: 2014-09-28 to 2014-11-10
C,Location/Node: .Z.SEMASS
C,Report generated 2015-11-30 18:16:38 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2014-09-28,01,1235.8,1251.1
D,2014-09-28,02,1156.6,1175.1
D,2014-09-28,03,1107.3,1129.9
D,2014-09-28,04,1079.2,1106.0
D,2014-09-28,05,1031.2,1106.0
D,2014-09-28,06,1055.8,1127.4
D,2014-09-28,07,1078.2,1168.1
D,2014-09-28,08,1177.9,1245.0
D,2014-09-28,09,1332.6,1371.2
D,2014-09-28,10,1507.6,1482.6
D,2014-09-28,11,1591.2,1558.0
D,2014-09-28,12,1687.8,1635.2
D,2014-09-28,13,1745.3,1700.5
D,2014-09-28,14,1778.2,1756.0
D,2014-09-28,15,1770.5,1803.1
D,2014-09-28,16,1802.4,1857.8
D,2014-09-28,17,1827.9,1913.2
D,2014-09-28,18,1834.9,1955.7
D,2014-09-28,19,1872.9,1993.7
D,2014-09-28,20,1885.1,2038.9
D,2014-09-28,21,1803.7,1939.8
D,2014-09-28,22,1667.9,1772.8
D,2014-09-28,23,1507.7,1581.9
D,2014-09-28,24,1331.7,1413.8
D,2014-09-29,01,1213.6,1300.2
D,2014-09-29,02,1151.6,1231.8
D,2014-09-29,03,1119.8,1198.8
D,2014-09-29,04,1108.5,1186.2
D,2014-09-29,05,1136.7,1220.6
D,2014-09-29,06,1244.2,1328.7
D,2014-09-29,07,1423.0,1534.4
D,2014-09-29,08,1582.6,1649.2
D,2014-09-29,09,1653.9,1714.4
D,2014-09-29,10,1712.1,1774.6
D,2014-09-29,11,1762.5,1820.8
D,2014-09-29,12,1801.6,1840.8
D,2014-09-29,13,1822.2,1851.6
D,2014-09-29,14,1832.8,1872.3
D,2014-09-29,15,1827.4,1865.7
D,2014-09-29,16,1824.9,1869.5
D,2014-09-29,17,1834.5,1877.7
D,2014-09-29,18,1850.8,1922.5
D,2014-09-29,19,1887.1,2006.7
D,2014-09-29,20,1953.2,2006.4
D,2014-09-29,21,1850.5,1903.9
D,2014-09-29,22,1688.5,1737.1
D,2014-09-29,23,1498.6,1547.1
D,2014-09-29,24,1296.2,1374.7
D,2014-09-30,01,1206.8,1259.4
D,2014-09-30,02,1125.7,1190.0
D,2014-09-30,03,1090.9,1153.0
D,2014-09-30,04,1064.6,1141.5
D,2014-09-30,05,1098.5,1171.6
D,2014-09-30,06,1229.9,1291.0
D,2014-09-30,07,1470.1,1511.8
D,2014-09-30,08,1545.5,1646.4
D,2014-09-30,09,1584.8,1701.3
D,2014-09-30,10,1625.7,1732.9
D,2014-09-30,11,1654.9,1758.4
D,2014-09-30,12,1670.9,1754.5
D,2014-09-30,13,1650.3,1751.0
D,2014-09-30,14,1653.2,1745.4
D,2014-09-30,15,1650.4,1722.7
D,2014-09-30,16,1652.1,1719.1
D,2014-09-30,17,1667.6,1743.4
