C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20150630_20150813.csv
C,Time period: 2015-06-30 to 2015-08-13
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:05:16 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2015-06-30,01,1346.4,1319.1
D,2015-06-30,02,1274.0,1240.8
D,2015-06-30,03,1224.6,1197.6
D,2015-06-30,04,1200.1,1183.2
D,2015-06-30,05,1225.7,1205.3
D,2015-06-30,06,1324.1,1271.2
D,2015-06-30,07,1484.5,1428.8
D,2015-06-30,08,1652.1,1593.7
D,2015-06-30,09,1751.7,1711.0
D,2015-06-30,10,1821.4,1812.1
D,2015-06-30,11,1886.2,1897.0
D,2015-06-30,12,1942.0,1974.7
D,2015-06-30,13,1979.7,2040.3
D,2015-06-30,14,2021.6,2103.0
D,2015-06-30,15,2061.1,2141.4
D,2015-06-30,16,2098.8,2171.2
D,2015-06-30,17,2127.5,2218.6
D,2015-06-30,18,2135.1,2252.7
D,2015-06-30,19,2090.8,2241.9
D,2015-06-30,20,2047.9,2177.3
D,2015-06-30,21,2050.2,2147.8
D,2015-06-30,22,1951.2,2072.7
D,2015-06-30,23,1733.0,1850.5
D,2015-06-30,24,1549.4,1624.6
D,2015-07-01,01,1402.2,1460.1
D,2015-07-01,02,1322.2,1364.7
D,2015-07-01,03,1270.1,1308.0
D,2015-07-01,04,1249.7,1288.0
D,2015-07-01,05,1286.1,1308.1
D,2015-07-01,06,1359.7,1379.6
D,2015-07-01,07,1525.0,1538.2
D,2015-07-01,08,1671.8,1718.3
D,2015-07-01,09,1773.3,1850.2
D,2015-07-01,10,1859.6,1935.5
D,2015-07-01,11,1938.4,1986.2
D,2015-07-01,12,1987.7,2033.3
D,2015-07-01,13,2017.1,2032.4
D,2015-07-01,14,2042.9,2083.5
D,2015-07-01,15,2049.6,2154.0
D,2015-07-01,16,2072.9,2224.7
D,2015-07-01,17,2113.5,2288.2
D,2015-07-01,18,2114.8,2329.6
D,2015-07-01,19,2098.7,2325.2
D,2015-07-01,20,2065.0,2268.2
D,2015-07-01,21,2078.0,2245.6
