C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20110401_20110515.csv
C,Time period: 2011-04-01 to 2011-05-15
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:12:40 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2011-04-01,01,1198.5,1344.2
D,2011-04-01,02,1141.9,1285.9
D,2011-04-01,03,1107.2,1257.6
D,2011-04-01,04,1103.5,1253.8
D,2011-04-01,05,1136.6,1286.5
D,2011-04-01,06,1253.2,1405.8
D,2011-04-01,07,1529.8,1644.3
D,2011-04-01,08,1771.0,1796.6
D,2011-04-01,09,1839.5,1849.7
D,2011-04-01,10,1846.2,1873.7
D,2011-04-01,11,1829.4,1885.8
D,2011-04-01,12,1834.6,1888.1
D,2011-04-01,13,1816.5,1870.5
D,2011-04-01,14,1788.5,1848.2
D,2011-04-01,15,1763.9,1811.1
D,2011-04-01,16,1748.8,1795.7
D,2011-04-01,17,1753.3,1798.6
D,2011-04-01,18,1791.0,1831.6
D,2011-04-01,19,1790.1,1870.8
D,2011-04-01,20,1934.0,1915.5
D,2011-04-01,21,1851.4,1870.9
D,2011-04-01,22,1698.1,1762.7
D,2011-04-01,23,1584.3,1610.1
D,2011-04-01,24,1328.7,1455.9
D,2011-04-02,01,1255.1,1338.2
D,2011-04-02,02,1196.7,1266.6
D,2011-04-02,03,1149.0,1232.1
D,2011-04-02,04,1135.2,1219.9
D,2011-04-02,05,1146.6,1227.6
D,2011-04-02,06,1193.5,1279.3
D,2011-04-02,07,1257.6,1360.6
D,2011-04-02,08,1451.1,1470.4
D,2011-04-02,09,1629.6,1585.6
D,2011-04-02,10,1726.6,1650.3
D,2011-04-02,11,1693.6,1665.5
D,2011-04-02,12,1685.0,1653.8
D,2011-04-02,13,1621.4,1622.6
D,2011-04-02,14,1581.3,1579.9
D,2011-04-02,15,1474.9,1548.4
D,2011-04-02,16,1461.8,1527.3
D,2011-04-02,17,1472.3,1531.0
D,2011-04-02,18,1532.3,1572.8
D,2011-04-02,19,1587.4,1613.4
D,2011-04-02,20,1742.2,1712.9
D,2011-04-02,21,1735.1,1710.4
D,2011-04-02,22,1612.6,1632.3
D,2011-04-02,23,1510.1,1504.4
D,2011-04-02,24,1297.5,1367.4
D,2011-04-03,01,1237.4,1262.7
D,2011-04-03,02,1178.1,1204.8
D,2011-04-03,03,1132.0,1172.2
D,2011-04-03,04,1097.2,1160.1
D,2011-04-03,05,1102.5,1167.1
D,2011-04-03,06,1133.2,1201.1
D,2011-04-03,07,1180.0,1246.1
D,2011-04-03,08,1288.6,1329.8
D,2011-04-03,09,1409.9,1441.9
D,2011-04-03,10,1487.0,1522.4
D,2011-04-03,11,1523.1,1558.6
D,2011-04-03,12,1516.0,1568.9
D,2011-04-03,13,1504.3,1554.7
D,2011-04-03,14,1440.0,1524.8
