C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20150401_20150515.csv
C,Time period: 2015-04-01 to 2015-05-15
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:04:42 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2015-04-01,01,1293.7,1289.8
D,2015-04-01,02,1236.0,1247.0
D,2015-04-01,03,1212.7,1233.9
D,2015-04-01,04,1215.5,1235.1
D,2015-04-01,05,1253.4,1288.1
D,2015-04-01,06,1378.1,1435.1
D,2015-04-01,07,1616.1,1658.3
D,2015-04-01,08,1718.9,1752.7
D,2015-04-01,09,1676.0,1729.6
D,2015-04-01,10,1668.7,1684.4
D,2015-04-01,11,1652.7,1654.5
D,2015-04-01,12,1639.3,1627.0
D,2015-04-01,13,1606.2,1595.4
D,2015-04-01,14,1582.3,1578.1
D,2015-04-01,15,1569.6,1540.5
D,2015-04-01,16,1565.5,1543.1
D,2015-04-01,17,1606.5,1574.5
D,2015-04-01,18,1674.5,1647.3
D,2015-04-01,19,1751.0,1732.8
D,2015-04-01,20,1819.8,1856.9
D,2015-04-01,21,1800.5,1860.2
D,2015-04-01,22,1677.5,1741.7
D,2015-04-01,23,1515.8,1571.0
D,2015-04-01,24,1366.2,1422.4
D,2015-04-02,01,1341.6,1336.3
D,2015-04-02,02,1292.0,1295.1
D,2015-04-02,03,1264.4,1286.7
D,2015-04-02,04,1261.5,1292.4
D,2015-04-02,05,1300.0,1337.2
D,2015-04-02,06,1424.3,1476.8
D,2015-04-02,07,1640.7,1704.1
D,2015-04-02,08,1741.8,1803.3
D,2015-04-02,09,1707.3,1780.7
D,2015-04-02,10,1697.2,1756.6
D,2015-04-02,11,1684.5,1716.9
D,2015-04-02,12,1656.0,1664.4
D,2015-04-02,13,1647.0,1601.4
D,2015-04-02,14,1618.2,1561.5
D,2015-04-02,15,1591.2,1528.1
D,2015-04-02,16,1594.2,1513.0
D,2015-04-02,17,1602.8,1539.0
D,2015-04-02,18,1655.7,1607.2
D,2015-04-02,19,1728.9,1677.2
D,2015-04-02,20,1803.4,1790.9
D,2015-04-02,21,1795.6,1782.1
D,2015-04-02,22,1671.3,1666.2
D,2015-04-02,23,1500.4,1504.1
D,2015-04-02,24,1321.7,1352.1
D,2015-04-03,01,1213.3,1239.3
D,2015-04-03,02,1144.5,1179.8
D,2015-04-03,03,1115.0,1147.6
D,2015-04-03,04,1106.8,1139.7
D,2015-04-03,05,1135.7,1170.9
D,2015-04-03,06,1234.5,1273.4
D,2015-04-03,07,1399.1,1438.0
D,2015-04-03,08,1535.9,1558.4
D,2015-04-03,09,1587.7,1630.3
D,2015-04-03,10,1603.7,1680.2
D,2015-04-03,11,1624.9,1695.3
D,2015-04-03,12,1614.6,1702.0
D,2015-04-03,13,1590.6,1696.1
D,2015-04-03,14,1573.9,1670.4
D,2015-04-03,15,1578.1,1647.9
D,2015-04-03,16,1530.0,1657.6
D,2015-04-03,17,1529.7,1677.4
D,2015-04-03,18,1555.4,1707.6
D,2015-04-03,19,1572.3,1719.2
D,2015-04-03,20,1650.0,1754.1
D,2015-04-03,21,1607.9,1710.5
D,2015-04-03,22,1510.4,1608.0
D,2015-04-03,23,1379.0,1471.1
D,2015-04-03,24,1239.3,1330.6
D,2015-04-04,01,1168.3,1226.4
D,2015-04-04,02,1129.4,1163.1
D,2015-04-04,03,1110.5,1128.7
D,2015-04-04,04,1096.9,1114.5
D,2015-04-04,05,1109.0,1121.8
D,2015-04-04,06,1145.0,1166.7
D,2015-04-04,07,1231.2,1259.5
D,2015-04-04,08,1331.0,1369.2
D,2015-04-04,09,1450.7,1503.3
D,2015-04-04,10,1511.2,1562.5
D,2015-04-04,11,1565.5,1532.7
D,2015-04-04,12,1549.5,1517.9
D,2015-04-04,13,1531.5,1495.5
D,2015-04-04,14,1503.2,1475.4
D,2015-04-04,15,1472.7,1438.3
D,2015-04-04,16,1455.7,1432.8
D,2015-04-04,17,1495.3,1453.5
D,2015-04-04,18,1543.9,1513.6
D,2015-04-04,19,1564.6,1581.6
D,2015-04-04,20,1667.7,1690.0
D,2015-04-04,21,1675.3,1707.7
D,2015-04-04,22,1573.3,1642.6
D,2015-04-04,23,1468.5,1523.4
D,2015-04-04,24,1336.0,1393.4
D,2015-04-05,01,1266.8,1283.8
D,2015-04-05,02,1279.7,1223.3
D,2015-04-05,03,1200.8,1194.5
D,2015-04-05,04,1166.1,1187.2
D,2015-04-05,05,1177.5,1199.3
D,2015-04-05,06,1217.9,1237.0
D,2015-04-05,07,1282.8,1299.5
D,2015-04-05,08,1397.0,1386.2
D,2015-04-05,09,1506.2,1461.9
D,2015-04-05,10,1513.6,1503.0
D,2015-04-05,11,1524.5,1501.3
D,2015-04-05,12,1490.3,1485.9
D,2015-04-05,13,1436.7,1473.5
D,2015-04-05,14,1421.3,1437.6
D,2015-04-05,15,1393.7,1391.2
D,2015-04-05,16,1369.3,1382.6
D,2015-04-05,17,1390.6,1418.6
D,2015-04-05,18,1465.8,1494.4
D,2015-04-05,19,1536.6,1567.2
D,2015-04-05,20,1617.4,1663.7
D,2015-04-05,21,1626.7,1672.1
D,2015-04-05,22,1551.0,1576.0
D,2015-04-05,23,1419.8,1436.1
D,2015-04-05,24,1311.9,1308.6
D,2015-04-06,01,1263.1,1228.6
D,2015-04-06,02,1224.6,1187.0
D,2015-04-06,03,1206.9,1183.1
D,2015-04-06,04,1207.6,1189.9
D,2015-04-06,05,1237.5,1242.4
D,2015-04-06,06,1357.9,1380.4
D,2015-04-06,07,1584.3,1600.3
D,2015-04-06,08,1689.4,1706.6
D,2015-04-06,09,1703.4,1703.6
D,2015-04-06,10,1701.3,1681.5
D,2015-04-06,11,1693.8,1669.6
D,2015-04-06,12,1682.1,1630.9
D,2015-04-06,13,1663.4,1585.3
D,2015-04-06,14,1647.8,1562.2
D,2015-04-06,15,1608.2,1525.8
D,2015-04-06,16,1595.5,1522.0
D,2015-04-06,17,1623.3,1557.7
D,2015-04-06,18,1681.9,1626.7
D,2015-04-06,19,1742.3,1697.9
D,2015-04-06,20,1807.0,1813.8
D,2015-04-06,21,1779.1,1805.3
D,2015-04-06,22,1651.7,1665.7
D,2015-04-06,23,1485.6,1483.6
D,2015-04-06,24,1336.3,1332.3
D,2015-04-07,01,1191.8,1231.2
D,2015-04-07,02,1139.0,1179.5
D,2015-04-07,03,1118.3,1156.9
D,2015-04-07,04,1118.5,1158.1
D,2015-04-07,05,1158.5,1200.0
D,2015-04-07,06,1287.6,1338.5
D,2015-04-07,07,1533.4,1560.1
D,2015-04-07,08,1642.8,1677.6
D,2015-04-07,09,1649.6,1703.1
D,2015-04-07,10,1651.3,1720.7
D,2015-04-07,11,1684.1,1751.1
D,2015-04-07,12,1676.3,1763.4
D,2015-04-07,13,1654.9,1754.9
D,2015-04-07,14,1633.2,1774.3
D,2015-04-07,15,1631.3,1761.5
D,2015-04-07,16,1614.9,1771.0
D,2015-04-07,17,1652.9,1812.0
D,2015-04-07,18,1699.4,1877.1
D,2015-04-07,19,1746.5,1909.4
D,2015-04-07,20,1827.9,1945.8
D,2015-04-07,21,1782.8,1889.1
D,2015-04-07,22,1656.8,1742.1
D,2015-04-07,23,1490.2,1554.6
D,2015-04-07,24,1340.4,1400.2
D,2015-04-08,01,1213.8,1301.7
D,2015-04-08,02,1163.2,1253.4
D,2015-04-08,03,1142.9,1232.2
D,2015-04-08,04,1141.7,1232.6
D,2015-04-08,05,1183.6,1279.7
D,2015-04-08,06,1308.9,1416.2
D,2015-04-08,07,1583.8,1622.1
D,2015-04-08,08,1682.8,1722.6
D,2015-04-08,09,1684.0,1693.5
D,2015-04-08,10,1671.5,1657.8
D,2015-04-08,11,1679.3,1636.7
D,2015-04-08,12,1677.1,1612.8
D,2015-04-08,13,1657.4,1622.7
D,2015-04-08,14,1644.6,1662.7
D,2015-04-08,15,1613.0,1684.0
D,2015-04-08,16,1623.2,1729.3
D,2015-04-08,17,1649.0,1794.6
D,2015-04-08,18,1715.5,1868.8
D,2015-04-08,19,1766.0,1915.2
D,2015-04-08,20,1864.5,1958.4
D,2015-04-08,21,1840.3,1905.4
D,2015-04-08,22,1710.4,1763.7
D,2015-04-08,23,1528.1,1581.5
D,2015-04-08,24,1358.1,1424.9
D,2015-04-09,01,1245.0,1327.7
D,2015-04-09,02,1205.7,1279.7
D,2015-04-09,03,1183.7,1262.3
D,2015-04-09,04,1182.7,1267.9
D,2015-04-09,05,1221.8,1304.9
D,2015-04-09,06,1338.1,1444.7
D,2015-04-09,07,1585.8,1673.9
D,2015-04-09,08,1688.7,1806.2
D,2015-04-09,09,1697.8,1837.2
D,2015-04-09,10,1693.0,1845.7
D,2015-04-09,11,1693.7,1850.4
D,2015-04-09,12,1675.8,1843.6
D,2015-04-09,13,1659.6,1826.4
D,2015-04-09,14,1647.2,1807.1
D,2015-04-09,15,1628.6,1790.4
D,2015-04-09,16,1630.7,1795.0
D,2015-04-09,17,1678.7,1821.9
D,2015-04-09,18,1744.6,1869.1
D,2015-04-09,19,1790.8,1915.6
D,2015-04-09,20,1855.2,1967.7
D,2015-04-09,21,1840.0,1924.2
D,2015-04-09,22,1700.0,1785.9
D,2015-04-09,23,1520.3,1595.4
D,2015-04-09,24,1361.0,1435.2
