C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20150516_20150629.csv
C,Time period: 2015-05-16 to 2015-06-29
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:05:04 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2015-05-16,01,1121.0,1174.8
D,2015-05-16,02,1065.0,1110.9
D,2015-05-16,03,1038.3,1073.6
D,2015-05-16,04,1022.6,1058.7
D,2015-05-16,05,1024.1,1067.5
D,2015-05-16,06,1059.2,1097.5
D,2015-05-16,07,1107.8,1162.0
D,2015-05-16,08,1217.7,1276.2
D,2015-05-16,09,1324.7,1376.7
D,2015-05-16,10,1392.3,1443.0
D,2015-05-16,11,1414.6,1476.6
D,2015-05-16,12,1400.0,1476.8
D,2015-05-16,13,1389.1,1471.1
D,2015-05-16,14,1369.3,1500.5
D,2015-05-16,15,1371.1,1515.4
D,2015-05-16,16,1383.5,1509.4
D,2015-05-16,17,1406.0,1507.8
D,2015-05-16,18,1442.3,1527.8
D,2015-05-16,19,1444.7,1538.0
D,2015-05-16,20,1479.1,1563.4
D,2015-05-16,21,1560.2,1607.4
D,2015-05-16,22,1456.4,1541.0
D,2015-05-16,23,1332.6,1409.3
D,2015-05-16,24,1226.8,1276.1
D,2015-05-17,01,1140.5,1176.7
D,2015-05-17,02,1086.0,1111.5
D,2015-05-17,03,1044.0,1077.5
D,2015-05-17,04,1026.3,1059.6
D,2015-05-17,05,1031.5,1063.3
D,2015-05-17,06,1055.3,1067.6
D,2015-05-17,07,1098.3,1108.7
D,2015-05-17,08,1189.7,1206.0
D,2015-05-17,09,1272.8,1318.3
D,2015-05-17,10,1348.7,1403.5
D,2015-05-17,11,1385.3,1458.5
D,2015-05-17,12,1416.0,1515.8
D,2015-05-17,13,1415.4,1552.1
D,2015-05-17,14,1412.9,1577.7
D,2015-05-17,15,1414.4,1593.8
D,2015-05-17,16,1441.4,1633.6
D,2015-05-17,17,1480.2,1691.8
D,2015-05-17,18,1522.1,1756.2
D,2015-05-17,19,1536.5,1779.1
D,2015-05-17,20,1578.2,1776.1
D,2015-05-17,21,1669.7,1815.6
D,2015-05-17,22,1512.9,1702.8
D,2015-05-17,23,1325.4,1508.9
D,2015-05-17,24,1202.6,1337.5
D,2015-05-18,01,1111.5,1215.8
D,2015-05-18,02,1056.7,1144.5
D,2015-05-18,03,1032.1,1105.9
D,2015-05-18,04,1026.5,1095.3
D,2015-05-18,05,1062.1,1124.8
D,2015-05-18,06,1164.9,1224.3
D,2015-05-18,07,1343.9,1401.0
D,2015-05-18,08,1476.2,1533.4
D,2015-05-18,09,1528.8,1573.7
D,2015-05-18,10,1557.1,1576.2
D,2015-05-18,11,1580.5,1570.4
D,2015-05-18,12,1602.7,1578.1
D,2015-05-18,13,1600.8,1586.3
D,2015-05-18,14,1598.9,1602.5
D,2015-05-18,15,1596.8,1609.0
D,2015-05-18,16,1613.0,1633.1
D,2015-05-18,17,1633.4,1669.2
D,2015-05-18,18,1647.8,1707.5
D,2015-05-18,19,1667.4,1717.3
D,2015-05-18,20,1677.0,1727.8
D,2015-05-18,21,1711.1,1774.6
D,2015-05-18,22,1611.8,1653.9
D,2015-05-18,23,1359.3,1455.8
D,2015-05-18,24,1232.1,1289.8
D,2015-05-19,01,1135.2,1184.1
D,2015-05-19,02,1074.7,1127.4
D,2015-05-19,03,1046.2,1103.2
D,2015-05-19,04,1039.2,1094.3
D,2015-05-19,05,1076.4,1129.0
D,2015-05-19,06,1180.0,1230.0
D,2015-05-19,07,1354.0,1413.0
D,2015-05-19,08,1486.7,1557.3
D,2015-05-19,09,1534.4,1621.2
D,2015-05-19,10,1577.2,1662.5
D,2015-05-19,11,1597.8,1704.4
D,2015-05-19,12,1600.9,1730.3
D,2015-05-19,13,1580.4,1727.2
D,2015-05-19,14,1589.6,1719.1
D,2015-05-19,15,1575.7,1703.8
D,2015-05-19,16,1576.6,1705.6
D,2015-05-19,17,1600.3,1719.7
D,2015-05-19,18,1622.3,1745.3
D,2015-05-19,19,1637.2,1760.5
D,2015-05-19,20,1663.8,1773.6
D,2015-05-19,21,1699.1,1791.7
D,2015-05-19,22,1590.9,1672.3
D,2015-05-19,23,1380.9,1483.7
D,2015-05-19,24,1240.3,1330.1
D,2015-05-20,01,1135.8,1226.5
D,2015-05-20,02,1088.3,1164.3
D,2015-05-20,03,1054.1,1126.0
D,2015-05-20,04,1042.5,1111.5
D,2015-05-20,05,1080.4,1139.9
D,2015-05-20,06,1174.4,1231.5
D,2015-05-20,07,1353.8,1410.2
D,2015-05-20,08,1477.5,1530.4
D,2015-05-20,09,1496.4,1547.3
D,2015-05-20,10,1543.4,1559.3
D,2015-05-20,11,1543.7,1574.5
D,2015-05-20,12,1545.5,1572.6
D,2015-05-20,13,1541.3,1578.0
D,2015-05-20,14,1542.6,1581.0
D,2015-05-20,15,1532.2,1589.5
D,2015-05-20,16,1546.2,1584.1
D,2015-05-20,17,1545.7,1592.1
D,2015-05-20,18,1565.1,1620.3
D,2015-05-20,19,1595.2,1638.6
D,2015-05-20,20,1621.9,1659.3
D,2015-05-20,21,1670.0,1719.5
D,2015-05-20,22,1539.4,1626.7
D,2015-05-20,23,1359.5,1440.6
D,2015-05-20,24,1220.6,1279.4
D,2015-05-21,01,1132.0,1170.9
D,2015-05-21,02,1079.5,1115.4
D,2015-05-21,03,1054.6,1088.7
D,2015-05-21,04,1047.5,1086.0
D,2015-05-21,05,1083.6,1118.4
D,2015-05-21,06,1147.1,1213.2
D,2015-05-21,07,1365.7,1391.4
D,2015-05-21,08,1480.4,1509.5
D,2015-05-21,09,1485.1,1536.7
D,2015-05-21,10,1503.4,1541.8
D,2015-05-21,11,1524.4,1565.9
D,2015-05-21,12,1551.9,1572.7
D,2015-05-21,13,1535.0,1564.9
D,2015-05-21,14,1529.6,1561.3
D,2015-05-21,15,1515.7,1544.3
D,2015-05-21,16,1536.2,1562.4
D,2015-05-21,17,1574.8,1581.1
D,2015-05-21,18,1578.5,1613.7
D,2015-05-21,19,1585.4,1637.3
D,2015-05-21,20,1606.1,1662.8
D,2015-05-21,21,1698.4,1730.0
D,2015-05-21,22,1533.3,1635.3
D,2015-05-21,23,1353.7,1455.7
D,2015-05-21,24,1229.5,1290.7
D,2015-05-22,01,1120.6,1180.7
D,2015-05-22,02,1060.2,1122.8
D,2015-05-22,03,1041.1,1094.2
D,2015-05-22,04,1032.6,1084.7
D,2015-05-22,05,1069.8,1121.0
D,2015-05-22,06,1153.7,1217.9
D,2015-05-22,07,1331.7,1395.2
D,2015-05-22,08,1459.5,1517.2
D,2015-05-22,09,1478.3,1542.8
D,2015-05-22,10,1502.2,1558.2
D,2015-05-22,11,1517.6,1573.6
D,2015-05-22,12,1532.0,1588.2
D,2015-05-22,13,1525.7,1590.9
D,2015-05-22,14,1524.3,1610.3
D,2015-05-22,15,1507.3,1597.0
D,2015-05-22,16,1504.7,1598.6
D,2015-05-22,17,1521.3,1608.3
D,2015-05-22,18,1542.4,1624.9
D,2015-05-22,19,1561.3,1630.8
D,2015-05-22,20,1576.3,1627.3
D,2015-05-22,21,1606.8,1666.5
D,2015-05-22,22,1506.7,1601.1
D,2015-05-22,23,1355.9,1453.1
D,2015-05-22,24,1207.7,1292.2
D,2015-05-23,01,1129.6,1169.6
D,2015-05-23,02,1066.1,1102.0
D,2015-05-23,03,1021.4,1062.9
D,2015-05-23,04,996.4,1048.2
D,2015-05-23,05,1020.8,1059.2
D,2015-05-23,06,1070.0,1077.9
D,2015-05-23,07,1155.0,1140.0
D,2015-05-23,08,1228.4,1236.3
D,2015-05-23,09,1318.6,1320.7
D,2015-05-23,10,1385.6,1364.0
D,2015-05-23,11,1403.7,1378.1
D,2015-05-23,12,1395.8,1374.1
D,2015-05-23,13,1372.4,1357.2
D,2015-05-23,14,1355.5,1340.7
D,2015-05-23,15,1346.4,1325.0
D,2015-05-23,16,1343.5,1337.3
D,2015-05-23,17,1359.5,1384.2
D,2015-05-23,18,1395.0,1443.9
D,2015-05-23,19,1405.7,1475.2
D,2015-05-23,20,1440.2,1497.8
D,2015-05-23,21,1477.7,1558.7
