C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20120101_20120214.csv
C,Time period: 2012-01-01 to 2012-02-14
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:09:53 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2012-01-01,01,1273.7,1422.6
D,2012-01-01,02,1202.5,1326.9
D,2012-01-01,03,1159.8,1266.5
D,2012-01-01,04,1146.9,1235.1
D,2012-01-01,05,1153.9,1233.9
D,2012-01-01,06,1140.4,1259.3
D,2012-01-01,07,1195.6,1307.4
D,2012-01-01,08,1256.5,1344.4
D,2012-01-01,09,1382.7,1423.3
D,2012-01-01,10,1506.3,1493.0
D,2012-01-01,11,1526.7,1545.5
D,2012-01-01,12,1548.3,1576.5
D,2012-01-01,13,1561.6,1583.6
D,2012-01-01,14,1536.5,1569.6
D,2012-01-01,15,1520.8,1550.3
D,2012-01-01,16,1539.3,1563.9
D,2012-01-01,17,1761.7,1756.4
D,2012-01-01,18,1878.8,1924.5
D,2012-01-01,19,1859.9,1914.6
D,2012-01-01,20,1802.1,1852.3
D,2012-01-01,21,1751.1,1775.2
D,2012-01-01,22,1601.4,1669.8
D,2012-01-01,23,1470.3,1523.1
D,2012-01-01,24,1315.2,1368.6
D,2012-01-02,01,1205.4,1241.8
D,2012-01-02,02,1135.2,1166.1
D,2012-01-02,03,1106.6,1131.0
D,2012-01-02,04,1095.5,1118.1
D,2012-01-02,05,1114.4,1142.4
D,2012-01-02,06,1171.6,1208.1
D,2012-01-02,07,1264.3,1300.4
D,2012-01-02,08,1355.2,1374.6
D,2012-01-02,09,1530.0,1486.6
D,2012-01-02,10,1603.6,1603.9
D,2012-01-02,11,1632.6,1692.6
D,2012-01-02,12,1645.8,1739.6
D,2012-01-02,13,1644.1,1739.0
D,2012-01-02,14,1624.5,1720.4
D,2012-01-02,15,1614.0,1711.2
D,2012-01-02,16,1639.9,1732.8
D,2012-01-02,17,1867.4,1940.6
D,2012-01-02,18,2017.1,2142.2
