C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20141111_20141225.csv
C,Time period: 2014-11-11 to 2014-12-25
C,Location/Node: .Z.SEMASS
C,Report generated 2015-11-30 18:16:50 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2014-11-11,01,1182.3,1223.2
D,2014-11-11,02,1133.0,1172.9
D,2014-11-11,03,1109.2,1151.0
D,2014-11-11,04,1106.4,1152.6
D,2014-11-11,05,1151.9,1188.3
D,2014-11-11,06,1282.9,1292.9
D,2014-11-11,07,1491.8,1436.3
D,2014-11-11,08,1590.5,1540.4
D,2014-11-11,09,1597.4,1588.2
D,2014-11-11,10,1589.1,1617.5
D,2014-11-11,11,1585.3,1644.0
D,2014-11-11,12,1584.2,1643.4
D,2014-11-11,13,1573.7,1628.1
D,2014-11-11,14,1568.5,1622.5
D,2014-11-11,15,1574.6,1625.2
D,2014-11-11,16,1589.9,1666.7
D,2014-11-11,17,1706.8,1815.1
D,2014-11-11,18,1852.0,1967.3
D,2014-11-11,19,1842.9,1943.8
D,2014-11-11,20,1807.4,1883.0
D,2014-11-11,21,1723.7,1782.5
D,2014-11-11,22,1583.3,1636.8
D,2014-11-11,23,1412.1,1460.4
D,2014-11-11,24,1268.9,1311.1
D,2014-11-12,01,1155.5,1211.0
D,2014-11-12,02,1055.9,1156.3
D,2014-11-12,03,1085.3,1121.3
D,2014-11-12,04,1079.8,1119.2
D,2014-11-12,05,1071.5,1156.5
D,2014-11-12,06,1242.0,1266.8
D,2014-11-12,07,1459.6,1481.7
D,2014-11-12,08,1582.6,1596.6
D,2014-11-12,09,1596.8,1641.9
D,2014-11-12,10,1612.4,1670.1
D,2014-11-12,11,1607.8,1679.3
D,2014-11-12,12,1611.0,1684.2
D,2014-11-12,13,1612.4,1673.3
D,2014-11-12,14,1604.0,1670.3
D,2014-11-12,15,1586.1,1659.5
D,2014-11-12,16,1610.6,1679.6
D,2014-11-12,17,1702.7,1804.4
D,2014-11-12,18,1834.7,1951.6
D,2014-11-12,19,1850.9,1918.3
D,2014-11-12,20,1813.5,1856.2
D,2014-11-12,21,1761.3,1757.2
D,2014-11-12,22,1627.1,1607.8
D,2014-11-12,23,1432.9,1429.6
D,2014-11-12,24,1278.0,1278.5
D,2014-11-13,01,1219.8,1183.9
D,2014-11-13,02,1169.0,1138.7
D,2014-11-13,03,1150.3,1119.1
D,2014-11-13,04,1152.7,1128.9
D,2014-11-13,05,1198.6,1175.4
D,2014-11-13,06,1329.0,1320.5
D,2014-11-13,07,1596.1,1546.9
D,2014-11-13,08,1665.6,1641.9
D,2014-11-13,09,1675.0,1627.4
D,2014-11-13,10,1678.7,1610.1
D,2014-11-13,11,1676.1,1604.9
D,2014-11-13,12,1674.0,1599.6
D,2014-11-13,13,1663.0,1590.2
D,2014-11-13,14,1648.8,1598.6
D,2014-11-13,15,1645.3,1622.8
D,2014-11-13,16,1675.7,1674.4
D,2014-11-13,17,1774.7,1823.0
D,2014-11-13,18,1937.0,1948.7
D,2014-11-13,19,1918.1,1944.9
D,2014-11-13,20,1888.7,1891.3
D,2014-11-13,21,1800.1,1801.8
D,2014-11-13,22,1655.9,1657.1
D,2014-11-13,23,1439.6,1478.8
D,2014-11-13,24,1335.0,1325.1
D,2014-11-14,01,1162.6,1231.0
D,2014-11-14,02,1112.6,1188.1
D,2014-11-14,03,1094.0,1169.2
D,2014-11-14,04,1093.6,1175.2
D,2014-11-14,05,1116.4,1223.9
D,2014-11-14,06,1248.8,1361.0
D,2014-11-14,07,1532.2,1587.3
D,2014-11-14,08,1627.0,1713.8
D,2014-11-14,09,1625.5,1756.6
D,2014-11-14,10,1629.2,1764.7
D,2014-11-14,11,1635.4,1743.4
D,2014-11-14,12,1620.6,1716.2
D,2014-11-14,13,1599.8,1686.5
D,2014-11-14,14,1589.3,1680.2
D,2014-11-14,15,1582.4,1682.5
D,2014-11-14,16,1603.5,1716.4
