C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20151102_20151216.csv
C,Time period: 2015-11-02 to 2015-12-16
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:05:57 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2015-11-02,01,1143.3,1118.8
D,2015-11-02,02,1097.4,1078.6
D,2015-11-02,03,1074.1,1067.1
D,2015-11-02,04,1073.2,1072.9
D,2015-11-02,05,1122.0,1125.0
D,2015-11-02,06,1268.2,1267.4
D,2015-11-02,07,1524.8,1475.8
D,2015-11-02,08,1583.7,1571.5
D,2015-11-02,09,1617.5,1596.5
D,2015-11-02,10,1614.4,1586.2
D,2015-11-02,11,1620.0,1573.2
D,2015-11-02,12,1609.6,1564.2
D,2015-11-02,13,1590.1,1569.0
D,2015-11-02,14,1575.9,1550.9
D,2015-11-02,15,1564.3,1566.8
D,2015-11-02,16,1603.3,1601.9
D,2015-11-02,17,1739.3,1720.9
D,2015-11-02,18,1940.4,1872.8
D,2015-11-02,19,1916.1,1862.6
D,2015-11-02,20,1871.4,1794.8
D,2015-11-02,21,1771.6,1697.1
D,2015-11-02,22,1623.0,1552.6
D,2015-11-02,23,1459.2,1383.3
D,2015-11-02,24,1303.2,1247.3
D,2015-11-03,01,1170.6,1162.8
D,2015-11-03,02,1158.9,1121.7
D,2015-11-03,03,1116.6,1102.0
D,2015-11-03,04,1117.6,1096.0
D,2015-11-03,05,1168.6,1137.9
D,2015-11-03,06,1234.9,1272.2
D,2015-11-03,07,1527.7,1473.9
D,2015-11-03,08,1590.3,1552.8
D,2015-11-03,09,1552.0,1534.8
D,2015-11-03,10,1540.2,1523.1
D,2015-11-03,11,1555.4,1518.2
D,2015-11-03,12,1530.5,1509.8
D,2015-11-03,13,1519.2,1511.5
D,2015-11-03,14,1514.6,1539.4
D,2015-11-03,15,1502.8,1557.0
D,2015-11-03,16,1518.4,1604.7
D,2015-11-03,17,1620.0,1703.7
D,2015-11-03,18,1796.4,1859.1
D,2015-11-03,19,1795.0,1849.7
D,2015-11-03,20,1767.7,1786.6
D,2015-11-03,21,1675.8,1681.4
D,2015-11-03,22,1559.0,1536.3
D,2015-11-03,23,1384.9,1360.9
D,2015-11-03,24,1243.6,1224.3
D,2015-11-04,01,1164.5,1137.9
D,2015-11-04,02,1104.7,1096.2
D,2015-11-04,03,1051.7,1076.8
D,2015-11-04,04,1057.7,1075.1
D,2015-11-04,05,1097.8,1120.4
D,2015-11-04,06,1233.7,1254.0
D,2015-11-04,07,1536.7,1454.3
D,2015-11-04,08,1610.2,1545.3
D,2015-11-04,09,1627.1,1533.9
D,2015-11-04,10,1573.3,1523.2
D,2015-11-04,11,1546.0,1523.2
D,2015-11-04,12,1546.8,1521.1
D,2015-11-04,13,1538.8,1519.2
D,2015-11-04,14,1544.4,1524.1
D,2015-11-04,15,1551.7,1546.7
D,2015-11-04,16,1572.3,1593.6
D,2015-11-04,17,1651.7,1698.1
D,2015-11-04,18,1808.6,1850.5
D,2015-11-04,19,1805.3,1840.0
D,2015-11-04,20,1802.7,1779.9
D,2015-11-04,21,1708.8,1687.6
D,2015-11-04,22,1579.0,1540.2
D,2015-11-04,23,1399.1,1374.2
D,2015-11-04,24,1237.9,1234.9
D,2015-11-05,01,1135.2,1145.7
D,2015-11-05,02,1092.2,1096.4
D,2015-11-05,03,1056.9,1076.3
D,2015-11-05,04,1050.5,1075.4
D,2015-11-05,05,1096.6,1119.0
D,2015-11-05,06,1225.3,1242.3
D,2015-11-05,07,1530.0,1447.6
D,2015-11-05,08,1611.9,1546.3
D,2015-11-05,09,1636.8,1565.4
D,2015-11-05,10,1588.6,1570.1
D,2015-11-05,11,1583.3,1572.6
D,2015-11-05,12,1550.5,1599.7
D,2015-11-05,13,1538.1,1623.9
D,2015-11-05,14,1536.8,1633.6
D,2015-11-05,15,1536.1,1641.9
D,2015-11-05,16,1556.4,1662.0
D,2015-11-05,17,1676.6,1755.7
D,2015-11-05,18,1853.8,1881.9
D,2015-11-05,19,1894.9,1863.6
D,2015-11-05,20,1847.8,1804.8
D,2015-11-05,21,1692.5,1715.0
D,2015-11-05,22,1555.7,1575.5
D,2015-11-05,23,1393.0,1407.8
D,2015-11-05,24,1255.2,1264.1
D,2015-11-06,01,1149.7,1169.1
D,2015-11-06,02,1101.9,1114.9
D,2015-11-06,03,1067.0,1089.1
D,2015-11-06,04,1062.2,1083.3
D,2015-11-06,05,1103.5,1123.4
D,2015-11-06,06,1230.4,1232.8
D,2015-11-06,07,1490.8,1431.2
D,2015-11-06,08,1545.1,1542.8
D,2015-11-06,09,1576.6,1601.2
D,2015-11-06,10,1596.1,1642.4
D,2015-11-06,11,1615.2,1667.8
D,2015-11-06,12,1621.2,1681.3
D,2015-11-06,13,1618.7,1668.4
D,2015-11-06,14,1635.2,1667.4
D,2015-11-06,15,1593.2,1659.0
D,2015-11-06,16,1607.1,1670.1
D,2015-11-06,17,1678.7,1760.7
D,2015-11-06,18,1855.5,1849.7
D,2015-11-06,19,1836.5,1813.2
D,2015-11-06,20,1742.3,1741.5
D,2015-11-06,21,1671.5,1663.9
D,2015-11-06,22,1555.3,1546.5
D,2015-11-06,23,1415.3,1406.1
D,2015-11-06,24,1288.3,1279.1
