C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20130516_20130629.csv
C,Time period: 2013-05-16 to 2013-06-29
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:07:41 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2013-05-16,01,1089.7,1187.1
D,2013-05-16,02,1029.4,1128.2
D,2013-05-16,03,999.1,1099.6
D,2013-05-16,04,985.2,1099.6
D,2013-05-16,05,1021.3,1135.3
D,2013-05-16,06,1122.4,1234.8
D,2013-05-16,07,1322.9,1436.9
D,2013-05-16,08,1476.3,1594.8
D,2013-05-16,09,1542.1,1654.9
D,2013-05-16,10,1568.6,1683.0
D,2013-05-16,11,1585.8,1716.7
D,2013-05-16,12,1573.7,1736.0
D,2013-05-16,13,1582.8,1721.8
D,2013-05-16,14,1614.4,1736.4
D,2013-05-16,15,1615.6,1737.3
D,2013-05-16,16,1619.6,1740.2
D,2013-05-16,17,1626.9,1756.7
D,2013-05-16,18,1618.2,1765.2
D,2013-05-16,19,1607.5,1766.7
D,2013-05-16,20,1632.8,1792.1
D,2013-05-16,21,1705.5,1859.1
D,2013-05-16,22,1591.8,1756.3
D,2013-05-16,23,1415.9,1548.2
D,2013-05-16,24,1221.3,1356.9
D,2013-05-17,01,1093.8,1223.6
D,2013-05-17,02,1031.0,1151.2
D,2013-05-17,03,1002.7,1113.3
D,2013-05-17,04,993.2,1099.5
D,2013-05-17,05,1023.4,1122.3
D,2013-05-17,06,1116.5,1208.9
D,2013-05-17,07,1293.4,1401.6
D,2013-05-17,08,1427.8,1560.6
D,2013-05-17,09,1495.1,1611.7
D,2013-05-17,10,1514.2,1645.7
D,2013-05-17,11,1493.1,1670.5
D,2013-05-17,12,1535.2,1686.1
D,2013-05-17,13,1505.4,1686.9
D,2013-05-17,14,1514.1,1689.0
D,2013-05-17,15,1514.1,1674.2
D,2013-05-17,16,1496.5,1663.0
D,2013-05-17,17,1517.8,1659.9
D,2013-05-17,18,1548.6,1652.6
D,2013-05-17,19,1557.0,1638.3
D,2013-05-17,20,1586.1,1643.1
D,2013-05-17,21,1662.0,1705.7
D,2013-05-17,22,1550.7,1633.2
D,2013-05-17,23,1378.1,1479.1
D,2013-05-17,24,1201.0,1314.0
D,2013-05-18,01,1063.0,1202.6
D,2013-05-18,02,1021.6,1127.0
D,2013-05-18,03,972.9,1091.7
D,2013-05-18,04,975.0,1081.3
D,2013-05-18,05,983.3,1085.9
D,2013-05-18,06,1019.7,1108.6
D,2013-05-18,07,1075.6,1186.8
D,2013-05-18,08,1187.0,1311.9
D,2013-05-18,09,1343.1,1436.5
D,2013-05-18,10,1429.5,1513.9
D,2013-05-18,11,1453.6,1546.1
D,2013-05-18,12,1462.8,1561.8
D,2013-05-18,13,1454.9,1559.1
D,2013-05-18,14,1439.9,1544.8
D,2013-05-18,15,1420.3,1530.0
D,2013-05-18,16,1417.9,1521.5
D,2013-05-18,17,1434.7,1528.0
D,2013-05-18,18,1461.6,1545.4
D,2013-05-18,19,1465.5,1551.4
D,2013-05-18,20,1500.9,1569.8
D,2013-05-18,21,1568.6,1636.5
D,2013-05-18,22,1474.9,1576.9
D,2013-05-18,23,1335.7,1439.3
D,2013-05-18,24,1183.8,1302.7
D,2013-05-19,01,1085.2,1189.6
D,2013-05-19,02,1022.3,1127.8
D,2013-05-19,03,983.6,1095.8
D,2013-05-19,04,967.4,1080.2
D,2013-05-19,05,969.3,1082.2
D,2013-05-19,06,984.4,1083.9
D,2013-05-19,07,1005.9,1107.0
D,2013-05-19,08,1117.4,1210.6
D,2013-05-19,09,1251.7,1341.8
D,2013-05-19,10,1332.7,1432.6
D,2013-05-19,11,1365.3,1485.4
D,2013-05-19,12,1389.6,1517.5
D,2013-05-19,13,1393.3,1526.6
D,2013-05-19,14,1384.1,1519.5
D,2013-05-19,15,1368.8,1511.7
D,2013-05-19,16,1368.3,1520.2
D,2013-05-19,17,1390.9,1547.1
D,2013-05-19,18,1426.2,1600.1
D,2013-05-19,19,1436.3,1647.6
D,2013-05-19,20,1475.4,1677.4
D,2013-05-19,21,1518.6,1698.7
D,2013-05-19,22,1437.2,1585.1
D,2013-05-19,23,1317.9,1410.8
D,2013-05-19,24,1158.8,1270.8
D,2013-05-20,01,1086.0,1168.5
D,2013-05-20,02,1026.1,1118.2
D,2013-05-20,03,1002.7,1095.9
D,2013-05-20,04,994.3,1092.9
D,2013-05-20,05,1030.5,1134.2
D,2013-05-20,06,1127.5,1240.8
D,2013-05-20,07,1315.2,1437.5
D,2013-05-20,08,1482.8,1602.4
D,2013-05-20,09,1556.2,1679.4
D,2013-05-20,10,1596.5,1729.6
D,2013-05-20,11,1601.9,1782.7
D,2013-05-20,12,1614.1,1824.6
D,2013-05-20,13,1642.1,1852.4
D,2013-05-20,14,1647.2,1891.3
D,2013-05-20,15,1638.0,1904.5
D,2013-05-20,16,1670.6,1923.9
D,2013-05-20,17,1661.3,1940.8
D,2013-05-20,18,1664.3,1953.2
D,2013-05-20,19,1667.4,1953.3
D,2013-05-20,20,1718.1,1967.0
D,2013-05-20,21,1792.2,2025.1
D,2013-05-20,22,1645.8,1903.4
D,2013-05-20,23,1479.0,1661.8
D,2013-05-20,24,1285.6,1457.9
D,2013-05-21,01,1174.1,1328.5
D,2013-05-21,02,1097.5,1241.5
D,2013-05-21,03,1062.4,1194.1
D,2013-05-21,04,1045.5,1174.9
D,2013-05-21,05,1077.5,1196.0
D,2013-05-21,06,1175.7,1284.1
D,2013-05-21,07,1383.3,1491.1
D,2013-05-21,08,1533.3,1670.6
D,2013-05-21,09,1624.4,1757.1
D,2013-05-21,10,1661.9,1823.6
D,2013-05-21,11,1654.7,1901.6
D,2013-05-21,12,1681.5,1979.3
D,2013-05-21,13,1690.5,2025.0
D,2013-05-21,14,1689.2,2065.3
D,2013-05-21,15,1662.8,2070.6
D,2013-05-21,16,1682.7,2026.5
D,2013-05-21,17,1665.9,1957.9
D,2013-05-21,18,1677.3,1927.2
D,2013-05-21,19,1681.4,1929.2
D,2013-05-21,20,1699.2,1933.6
D,2013-05-21,21,1755.9,1886.7
D,2013-05-21,22,1617.3,1738.6
D,2013-05-21,23,1458.2,1532.1
D,2013-05-21,24,1266.3,1352.1
D,2013-05-22,01,1149.5,1232.0
D,2013-05-22,02,1083.6,1165.8
D,2013-05-22,03,1049.6,1132.7
D,2013-05-22,04,1037.6,1125.1
D,2013-05-22,05,1070.8,1166.6
D,2013-05-22,06,1154.7,1270.9
D,2013-05-22,07,1346.3,1467.2
D,2013-05-22,08,1518.3,1619.1
D,2013-05-22,09,1608.7,1688.9
D,2013-05-22,10,1662.4,1731.7
D,2013-05-22,11,1695.7,1755.9
D,2013-05-22,12,1681.9,1777.9
D,2013-05-22,13,1714.3,1796.8
D,2013-05-22,14,1749.7,1811.9
D,2013-05-22,15,1751.1,1802.9
D,2013-05-22,16,1775.8,1799.8
D,2013-05-22,17,1775.1,1799.3
D,2013-05-22,18,1754.2,1808.0
D,2013-05-22,19,1778.1,1824.1
D,2013-05-22,20,1777.2,1858.0
D,2013-05-22,21,1846.4,1890.4
D,2013-05-22,22,1703.7,1757.0
D,2013-05-22,23,1524.2,1552.5
D,2013-05-22,24,1360.0,1370.3
D,2013-05-23,01,1181.5,1250.6
D,2013-05-23,02,1109.9,1180.0
D,2013-05-23,03,1078.0,1150.2
D,2013-05-23,04,1064.2,1142.3
D,2013-05-23,05,1099.0,1174.3
D,2013-05-23,06,1203.2,1283.0
D,2013-05-23,07,1374.9,1498.9
D,2013-05-23,08,1538.0,1672.8
D,2013-05-23,09,1629.7,1757.9
D,2013-05-23,10,1691.8,1811.9
D,2013-05-23,11,1724.8,1857.4
D,2013-05-23,12,1756.2,1884.3
D,2013-05-23,13,1770.5,1889.4
D,2013-05-23,14,1806.1,1904.9
D,2013-05-23,15,1789.5,1899.7
D,2013-05-23,16,1775.5,1906.9
D,2013-05-23,17,1752.5,1901.6
D,2013-05-23,18,1747.6,1907.8
D,2013-05-23,19,1747.3,1914.6
D,2013-05-23,20,1772.8,1929.4
D,2013-05-23,21,1847.8,1960.4
D,2013-05-23,22,1713.9,1838.5
D,2013-05-23,23,1515.3,1627.0
D,2013-05-23,24,1340.9,1440.0
D,2013-05-24,01,1168.8,1311.3
D,2013-05-24,02,1099.7,1237.6
D,2013-05-24,03,1065.6,1199.4
D,2013-05-24,04,1054.7,1190.7
D,2013-05-24,05,1083.7,1217.0
D,2013-05-24,06,1178.8,1305.4
D,2013-05-24,07,1351.8,1502.4
D,2013-05-24,08,1501.5,1678.0
D,2013-05-24,09,1581.6,1778.2
D,2013-05-24,10,1652.4,1841.2
D,2013-05-24,11,1647.3,1878.1
D,2013-05-24,12,1669.2,1895.3
D,2013-05-24,13,1643.6,1883.7
D,2013-05-24,14,1644.4,1878.7
D,2013-05-24,15,1629.9,1855.9
D,2013-05-24,16,1621.3,1839.2
D,2013-05-24,17,1624.4,1837.0
D,2013-05-24,18,1628.6,1853.2
D,2013-05-24,19,1626.1,1844.0
D,2013-05-24,20,1638.7,1825.1
D,2013-05-24,21,1700.2,1812.7
D,2013-05-24,22,1592.2,1705.9
D,2013-05-24,23,1437.7,1535.8
D,2013-05-24,24,1254.3,1362.7
D,2013-05-25,01,1135.9,1232.9
D,2013-05-25,02,1059.7,1160.8
D,2013-05-25,03,1018.5,1120.5
D,2013-05-25,04,1000.3,1099.8
D,2013-05-25,05,1006.1,1102.4
D,2013-05-25,06,1037.7,1126.2
D,2013-05-25,07,1085.1,1188.4
D,2013-05-25,08,1202.2,1311.9
D,2013-05-25,09,1359.2,1454.3
D,2013-05-25,10,1463.8,1565.6
D,2013-05-25,11,1503.8,1619.9
D,2013-05-25,12,1526.6,1646.0
D,2013-05-25,13,1494.4,1641.8
D,2013-05-25,14,1476.4,1620.7
D,2013-05-25,15,1474.2,1597.7
D,2013-05-25,16,1484.9,1584.9
D,2013-05-25,17,1490.1,1602.3
D,2013-05-25,18,1492.7,1642.5
D,2013-05-25,19,1494.9,1664.4
D,2013-05-25,20,1521.9,1671.2
D,2013-05-25,21,1566.5,1700.7
D,2013-05-25,22,1480.8,1638.4
D,2013-05-25,23,1358.8,1493.0
D,2013-05-25,24,1226.0,1345.9
D,2013-05-26,01,1149.9,1226.4
D,2013-05-26,02,1079.3,1157.0
D,2013-05-26,03,1039.0,1118.9
D,2013-05-26,04,1021.1,1103.4
D,2013-05-26,05,1024.8,1109.2
D,2013-05-26,06,1041.3,1119.0
D,2013-05-26,07,1069.5,1164.5
D,2013-05-26,08,1174.1,1269.8
D,2013-05-26,09,1295.3,1413.6
D,2013-05-26,10,1372.7,1522.9
D,2013-05-26,11,1412.4,1584.3
D,2013-05-26,12,1438.3,1606.5
D,2013-05-26,13,1442.6,1585.3
D,2013-05-26,14,1425.7,1548.8
D,2013-05-26,15,1413.8,1512.8
D,2013-05-26,16,1411.3,1498.6
D,2013-05-26,17,1395.4,1502.2
D,2013-05-26,18,1397.5,1533.2
D,2013-05-26,19,1407.0,1552.7
D,2013-05-26,20,1423.8,1564.2
D,2013-05-26,21,1514.4,1623.3
D,2013-05-26,22,1423.6,1583.7
D,2013-05-26,23,1281.1,1454.7
D,2013-05-26,24,1137.7,1316.4
D,2013-05-27,01,1107.9,1199.2
D,2013-05-27,02,1047.0,1134.2
D,2013-05-27,03,1012.3,1101.6
D,2013-05-27,04,997.7,1092.5
D,2013-05-27,05,1009.1,1106.1
D,2013-05-27,06,1039.3,1119.8
D,2013-05-27,07,1082.5,1178.5
D,2013-05-27,08,1198.4,1274.3
D,2013-05-27,09,1316.0,1393.7
D,2013-05-27,10,1401.2,1493.1
D,2013-05-27,11,1450.0,1531.9
D,2013-05-27,12,1467.0,1544.1
D,2013-05-27,13,1474.2,1536.6
D,2013-05-27,14,1466.1,1510.2
D,2013-05-27,15,1450.4,1488.9
D,2013-05-27,16,1449.0,1487.5
D,2013-05-27,17,1461.1,1520.3
D,2013-05-27,18,1462.3,1576.2
D,2013-05-27,19,1454.7,1612.3
