C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20120927_20121109.csv
C,Time period: 2012-09-27 to 2012-11-09
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:11:32 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2012-09-27,01,1271.7,1291.4
D,2012-09-27,02,1196.2,1236.1
D,2012-09-27,03,1097.6,1197.0
D,2012-09-27,04,1084.1,1181.4
D,2012-09-27,05,1109.7,1208.7
D,2012-09-27,06,1211.1,1332.9
D,2012-09-27,07,1439.9,1560.8
D,2012-09-27,08,1610.7,1688.1
D,2012-09-27,09,1694.4,1751.9
D,2012-09-27,10,1738.9,1798.4
D,2012-09-27,11,1746.7,1836.4
D,2012-09-27,12,1732.9,1853.5
D,2012-09-27,13,1738.0,1849.7
D,2012-09-27,14,1743.1,1852.6
D,2012-09-27,15,1756.1,1828.2
D,2012-09-27,16,1752.9,1815.9
D,2012-09-27,17,1756.6,1808.7
D,2012-09-27,18,1769.9,1813.4
D,2012-09-27,19,1796.5,1888.8
D,2012-09-27,20,1865.2,1947.3
D,2012-09-27,21,1812.8,1867.3
D,2012-09-27,22,1645.6,1714.0
D,2012-09-27,23,1462.4,1513.8
D,2012-09-27,24,1246.8,1337.0
D,2012-09-28,01,1218.0,1220.2
D,2012-09-28,02,1147.7,1152.7
D,2012-09-28,03,1058.0,1122.3
D,2012-09-28,04,1047.6,1114.6
D,2012-09-28,05,1072.2,1142.5
D,2012-09-28,06,1150.9,1257.2
D,2012-09-28,07,1434.1,1485.4
D,2012-09-28,08,1436.2,1621.6
D,2012-09-28,09,1544.4,1684.5
D,2012-09-28,10,1537.7,1727.7
D,2012-09-28,11,1575.8,1766.3
D,2012-09-28,12,1558.4,1790.1
D,2012-09-28,13,1542.4,1785.5
D,2012-09-28,14,1624.0,1782.9
D,2012-09-28,15,1609.9,1759.2
D,2012-09-28,16,1604.1,1757.4
D,2012-09-28,17,1671.3,1775.5
D,2012-09-28,18,1683.6,1814.0
D,2012-09-28,19,1723.0,1868.6
D,2012-09-28,20,1777.2,1864.0
D,2012-09-28,21,1798.4,1786.4
D,2012-09-28,22,1611.2,1667.9
D,2012-09-28,23,1373.2,1508.7
D,2012-09-28,24,1277.1,1352.2
D,2012-09-29,01,1265.6,1231.5
D,2012-09-29,02,1200.0,1155.9
D,2012-09-29,03,1100.8,1116.1
D,2012-09-29,04,1092.0,1097.7
D,2012-09-29,05,1094.6,1106.9
D,2012-09-29,06,1116.8,1151.3
D,2012-09-29,07,1179.5,1236.2
D,2012-09-29,08,1336.0,1352.8
D,2012-09-29,09,1527.6,1497.4
D,2012-09-29,10,1648.1,1603.6
D,2012-09-29,11,1650.1,1655.2
D,2012-09-29,12,1687.2,1673.6
D,2012-09-29,13,1599.7,1661.2
D,2012-09-29,14,1604.9,1645.5
D,2012-09-29,15,1593.9,1623.7
D,2012-09-29,16,1590.1,1619.6
D,2012-09-29,17,1591.8,1638.9
D,2012-09-29,18,1590.6,1687.7
D,2012-09-29,19,1709.2,1751.7
D,2012-09-29,20,1559.3,1758.5
D,2012-09-29,21,1668.1,1695.2
D,2012-09-29,22,1546.4,1594.8
D,2012-09-29,23,1342.2,1455.7
D,2012-09-29,24,1202.8,1312.0
D,2012-09-30,01,1241.4,1198.6
D,2012-09-30,02,1169.2,1129.8
D,2012-09-30,03,1071.4,1092.2
D,2012-09-30,04,1078.6,1073.2
D,2012-09-30,05,1069.0,1077.4
D,2012-09-30,06,1067.8,1102.7
D,2012-09-30,07,1101.3,1160.8
D,2012-09-30,08,1182.6,1251.0
D,2012-09-30,09,1375.9,1397.3
D,2012-09-30,10,1484.9,1535.2
D,2012-09-30,11,1526.5,1626.6
D,2012-09-30,12,1557.5,1670.3
D,2012-09-30,13,1548.4,1680.1
D,2012-09-30,14,1534.7,1672.7
D,2012-09-30,15,1531.2,1648.1
D,2012-09-30,16,1539.3,1631.1
D,2012-09-30,17,1565.4,1641.4
D,2012-09-30,18,1602.5,1679.9
D,2012-09-30,19,1695.9,1766.5
D,2012-09-30,20,1671.6,1817.8
D,2012-09-30,21,1609.2,1732.8
D,2012-09-30,22,1489.0,1588.1
D,2012-09-30,23,1372.8,1427.0
D,2012-09-30,24,1215.9,1280.1
D,2012-10-01,01,1144.0,1170.8
D,2012-10-01,02,1085.6,1115.6
D,2012-10-01,03,1059.4,1090.4
D,2012-10-01,04,1052.0,1085.8
D,2012-10-01,05,1080.6,1123.5
D,2012-10-01,06,1180.3,1249.7
D,2012-10-01,07,1434.2,1476.2
D,2012-10-01,08,1492.9,1598.8
D,2012-10-01,09,1617.4,1645.0
D,2012-10-01,10,1678.5,1682.6
D,2012-10-01,11,1710.7,1713.5
D,2012-10-01,12,1728.8,1731.7
D,2012-10-01,13,1692.9,1732.5
D,2012-10-01,14,1661.2,1732.9
D,2012-10-01,15,1648.5,1717.2
D,2012-10-01,16,1650.9,1711.8
D,2012-10-01,17,1632.9,1727.5
D,2012-10-01,18,1663.8,1780.4
D,2012-10-01,19,1820.7,1883.4
D,2012-10-01,20,1879.4,1938.5
D,2012-10-01,21,1771.5,1853.3
D,2012-10-01,22,1596.6,1691.8
D,2012-10-01,23,1423.8,1488.7
D,2012-10-01,24,1242.6,1319.9
D,2012-10-02,01,1141.5,1201.8
D,2012-10-02,02,1088.5,1143.1
D,2012-10-02,03,1043.1,1112.4
D,2012-10-02,04,1042.7,1103.4
D,2012-10-02,05,1052.5,1135.2
D,2012-10-02,06,1114.7,1258.5
D,2012-10-02,07,1341.5,1487.4
D,2012-10-02,08,1506.2,1612.0
D,2012-10-02,09,1581.2,1665.0
D,2012-10-02,10,1668.3,1712.9
D,2012-10-02,11,1622.4,1753.5
D,2012-10-02,12,1629.3,1778.3
D,2012-10-02,13,1674.0,1781.6
D,2012-10-02,14,1687.3,1791.6
D,2012-10-02,15,1703.5,1778.0
D,2012-10-02,16,1703.0,1780.0
D,2012-10-02,17,1698.2,1802.4
D,2012-10-02,18,1725.4,1858.8
D,2012-10-02,19,1808.6,1954.4
D,2012-10-02,20,1877.9,1963.1
D,2012-10-02,21,1719.5,1878.2
D,2012-10-02,22,1536.6,1721.1
D,2012-10-02,23,1403.5,1522.0
D,2012-10-02,24,1182.8,1346.9
D,2012-10-03,01,1048.0,1231.5
D,2012-10-03,02,1024.7,1170.7
D,2012-10-03,03,980.2,1145.5
D,2012-10-03,04,1031.2,1139.4
D,2012-10-03,05,1094.3,1171.4
D,2012-10-03,06,1211.4,1302.9
D,2012-10-03,07,1513.1,1538.3
D,2012-10-03,08,1548.7,1686.2
D,2012-10-03,09,1622.6,1741.2
D,2012-10-03,10,1477.8,1784.4
D,2012-10-03,11,1490.1,1821.3
D,2012-10-03,12,1509.8,1842.3
D,2012-10-03,13,1484.7,1838.1
