C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20120515_20120628.csv
C,Time period: 2012-05-15 to 2012-06-28
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:11:00 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2012-05-15,01,1079.7,1217.6
D,2012-05-15,02,1015.3,1150.1
D,2012-05-15,03,985.5,1116.9
D,2012-05-15,04,1008.1,1107.5
D,2012-05-15,05,1001.3,1134.4
D,2012-05-15,06,1070.8,1231.3
D,2012-05-15,07,1244.4,1426.7
D,2012-05-15,08,1542.0,1590.0
D,2012-05-15,09,1577.6,1659.8
D,2012-05-15,10,1614.2,1712.5
D,2012-05-15,11,1619.0,1757.0
D,2012-05-15,12,1630.7,1776.5
D,2012-05-15,13,1642.8,1781.0
D,2012-05-15,14,1636.5,1782.0
D,2012-05-15,15,1619.1,1756.7
D,2012-05-15,16,1549.0,1746.4
D,2012-05-15,17,1560.9,1759.3
D,2012-05-15,18,1585.5,1791.5
D,2012-05-15,19,1661.3,1808.0
D,2012-05-15,20,1688.5,1826.8
D,2012-05-15,21,1699.0,1824.8
D,2012-05-15,22,1570.6,1680.8
D,2012-05-15,23,1370.5,1487.2
D,2012-05-15,24,1219.0,1326.1
D,2012-05-16,01,1131.1,1217.1
D,2012-05-16,02,1077.5,1155.3
D,2012-05-16,03,1042.4,1122.3
D,2012-05-16,04,996.6,1112.8
D,2012-05-16,05,1022.8,1146.0
D,2012-05-16,06,1152.8,1255.1
D,2012-05-16,07,1343.2,1457.3
D,2012-05-16,08,1565.7,1637.0
D,2012-05-16,09,1635.0,1722.7
D,2012-05-16,10,1662.5,1774.6
D,2012-05-16,11,1675.1,1806.3
D,2012-05-16,12,1689.0,1823.0
D,2012-05-16,13,1656.5,1817.4
D,2012-05-16,14,1662.4,1814.2
D,2012-05-16,15,1671.4,1801.7
D,2012-05-16,16,1622.4,1801.6
D,2012-05-16,17,1699.5,1814.3
D,2012-05-16,18,1697.9,1823.7
D,2012-05-16,19,1680.4,1818.6
D,2012-05-16,20,1723.3,1836.8
D,2012-05-16,21,1796.3,1888.1
D,2012-05-16,22,1649.3,1767.2
D,2012-05-16,23,1455.9,1552.9
D,2012-05-16,24,1262.3,1362.8
D,2012-05-17,01,1143.5,1236.5
D,2012-05-17,02,1078.3,1166.8
D,2012-05-17,03,1040.2,1130.3
D,2012-05-17,04,1024.3,1114.4
D,2012-05-17,05,1052.2,1137.3
D,2012-05-17,06,1139.0,1224.8
D,2012-05-17,07,1255.7,1416.1
D,2012-05-17,08,1394.9,1570.2
D,2012-05-17,09,1445.1,1634.2
D,2012-05-17,10,1569.8,1668.3
D,2012-05-17,11,1630.9,1700.7
D,2012-05-17,12,1650.6,1720.4
D,2012-05-17,13,1625.1,1721.0
D,2012-05-17,14,1612.4,1729.0
D,2012-05-17,15,1582.5,1729.2
D,2012-05-17,16,1527.0,1727.9
D,2012-05-17,17,1529.2,1731.6
D,2012-05-17,18,1563.7,1733.2
D,2012-05-17,19,1641.7,1722.6
D,2012-05-17,20,1671.9,1736.4
D,2012-05-17,21,1730.5,1811.6
D,2012-05-17,22,1537.2,1710.8
D,2012-05-17,23,1371.2,1509.0
D,2012-05-17,24,1207.0,1325.6
D,2012-05-18,01,1096.7,1203.7
D,2012-05-18,02,1026.8,1135.6
D,2012-05-18,03,993.9,1104.3
D,2012-05-18,04,987.5,1094.4
D,2012-05-18,05,1021.9,1122.4
D,2012-05-18,06,1063.5,1208.9
D,2012-05-18,07,1297.1,1394.8
D,2012-05-18,08,1468.5,1556.6
D,2012-05-18,09,1556.2,1624.4
D,2012-05-18,10,1535.0,1673.2
D,2012-05-18,11,1555.8,1708.7
D,2012-05-18,12,1538.1,1725.7
D,2012-05-18,13,1522.2,1726.4
D,2012-05-18,14,1548.0,1731.8
D,2012-05-18,15,1526.5,1716.3
D,2012-05-18,16,1578.3,1707.8
D,2012-05-18,17,1524.1,1695.6
D,2012-05-18,18,1560.0,1679.0
D,2012-05-18,19,1509.7,1655.7
D,2012-05-18,20,1533.9,1655.6
D,2012-05-18,21,1626.7,1724.2
D,2012-05-18,22,1540.6,1655.1
D,2012-05-18,23,1360.5,1498.0
D,2012-05-18,24,1145.1,1331.1
D,2012-05-19,01,1083.5,1202.2
D,2012-05-19,02,1017.3,1131.5
D,2012-05-19,03,967.6,1093.0
D,2012-05-19,04,993.6,1078.1
D,2012-05-19,05,968.6,1085.1
D,2012-05-19,06,992.0,1102.0
D,2012-05-19,07,1076.8,1178.6
D,2012-05-19,08,1243.1,1305.4
D,2012-05-19,09,1361.7,1441.1
D,2012-05-19,10,1474.3,1522.4
D,2012-05-19,11,1482.1,1565.0
D,2012-05-19,12,1508.7,1583.9
D,2012-05-19,13,1467.2,1575.8
D,2012-05-19,14,1494.3,1569.8
D,2012-05-19,15,1483.9,1563.4
D,2012-05-19,16,1414.1,1569.6
D,2012-05-19,17,1417.7,1587.5
D,2012-05-19,18,1449.2,1611.0
D,2012-05-19,19,1424.9,1612.1
D,2012-05-19,20,1463.1,1606.1
D,2012-05-19,21,1544.6,1668.4
D,2012-05-19,22,1454.4,1610.2
D,2012-05-19,23,1323.2,1464.0
D,2012-05-19,24,1172.3,1315.8
D,2012-05-20,01,1027.2,1197.2
D,2012-05-20,02,968.4,1123.3
D,2012-05-20,03,925.0,1079.8
D,2012-05-20,04,939.1,1059.7
D,2012-05-20,05,948.8,1061.0
D,2012-05-20,06,957.7,1059.2
D,2012-05-20,07,969.9,1103.4
D,2012-05-20,08,1089.3,1217.4
D,2012-05-20,09,1223.4,1357.5
D,2012-05-20,10,1352.1,1466.1
D,2012-05-20,11,1389.4,1532.1
D,2012-05-20,12,1456.3,1577.5
D,2012-05-20,13,1466.1,1598.5
D,2012-05-20,14,1483.8,1603.4
D,2012-05-20,15,1471.1,1607.0
D,2012-05-20,16,1469.5,1624.4
D,2012-05-20,17,1488.8,1650.8
D,2012-05-20,18,1517.9,1678.6
D,2012-05-20,19,1466.8,1677.2
D,2012-05-20,20,1479.4,1682.2
D,2012-05-20,21,1540.3,1745.8
D,2012-05-20,22,1497.7,1648.7
D,2012-05-20,23,1298.3,1457.7
D,2012-05-20,24,1145.7,1291.1
D,2012-05-21,01,1031.0,1173.8
D,2012-05-21,02,1019.0,1112.1
D,2012-05-21,03,990.4,1084.0
D,2012-05-21,04,974.7,1076.2
D,2012-05-21,05,1011.0,1111.3
D,2012-05-21,06,1040.5,1207.9
D,2012-05-21,07,1240.9,1407.5
D,2012-05-21,08,1428.0,1579.7
D,2012-05-21,09,1554.3,1660.9
D,2012-05-21,10,1477.9,1723.4
D,2012-05-21,11,1477.8,1763.8
D,2012-05-21,12,1509.6,1792.4
D,2012-05-21,13,1502.0,1799.7
D,2012-05-21,14,1555.9,1805.0
D,2012-05-21,15,1551.4,1786.6
D,2012-05-21,16,1546.4,1781.4
D,2012-05-21,17,1535.7,1794.1
D,2012-05-21,18,1548.9,1825.4
D,2012-05-21,19,1620.1,1831.7
D,2012-05-21,20,1659.5,1848.2
D,2012-05-21,21,1668.1,1863.6
D,2012-05-21,22,1555.2,1729.8
D,2012-05-21,23,1337.7,1522.5
D,2012-05-21,24,1205.7,1343.6
D,2012-05-22,01,1061.1,1222.3
D,2012-05-22,02,1009.5,1157.7
D,2012-05-22,03,945.5,1126.9
D,2012-05-22,04,964.4,1121.1
D,2012-05-22,05,956.8,1152.4
D,2012-05-22,06,1032.4,1255.3
D,2012-05-22,07,1178.1,1458.3
D,2012-05-22,08,1510.9,1626.3
D,2012-05-22,09,1590.5,1706.2
D,2012-05-22,10,1634.9,1756.2
D,2012-05-22,11,1643.4,1805.2
D,2012-05-22,12,1666.5,1824.6
D,2012-05-22,13,1674.7,1818.1
D,2012-05-22,14,1674.5,1818.3
D,2012-05-22,15,1667.7,1806.0
D,2012-05-22,16,1657.5,1801.9
D,2012-05-22,17,1678.7,1814.2
D,2012-05-22,18,1697.8,1842.7
D,2012-05-22,19,1705.2,1844.2
D,2012-05-22,20,1727.0,1847.8
D,2012-05-22,21,1731.3,1864.6
D,2012-05-22,22,1563.2,1743.4
D,2012-05-22,23,1477.5,1545.8
D,2012-05-22,24,1225.0,1364.3
D,2012-05-23,01,1174.9,1239.6
D,2012-05-23,02,1102.5,1173.0
D,2012-05-23,03,1066.1,1142.9
D,2012-05-23,04,1051.8,1134.1
D,2012-05-23,05,1078.9,1161.8
D,2012-05-23,06,1163.4,1267.6
D,2012-05-23,07,1323.6,1470.4
D,2012-05-23,08,1553.9,1647.4
D,2012-05-23,09,1631.0,1725.8
D,2012-05-23,10,1676.0,1777.4
D,2012-05-23,11,1709.4,1812.9
D,2012-05-23,12,1758.0,1846.6
D,2012-05-23,13,1800.6,1853.9
D,2012-05-23,14,1811.8,1873.6
D,2012-05-23,15,1811.2,1872.1
D,2012-05-23,16,1816.9,1878.9
D,2012-05-23,17,1818.6,1893.7
D,2012-05-23,18,1833.7,1909.2
D,2012-05-23,19,1795.7,1908.5
D,2012-05-23,20,1812.5,1909.4
D,2012-05-23,21,1907.2,1967.2
D,2012-05-23,22,1740.4,1865.7
D,2012-05-23,23,1530.0,1648.3
D,2012-05-23,24,1324.7,1444.9
D,2012-05-24,01,1120.5,1298.4
D,2012-05-24,02,1101.1,1217.5
D,2012-05-24,03,1061.7,1172.8
D,2012-05-24,04,1047.8,1159.2
D,2012-05-24,05,1039.9,1187.7
D,2012-05-24,06,1040.4,1265.1
D,2012-05-24,07,1311.4,1468.4
D,2012-05-24,08,1602.6,1654.8
D,2012-05-24,09,1681.0,1745.0
D,2012-05-24,10,1714.6,1815.6
D,2012-05-24,11,1715.0,1868.9
D,2012-05-24,12,1751.2,1912.0
D,2012-05-24,13,1786.8,1937.6
D,2012-05-24,14,1799.4,1962.3
D,2012-05-24,15,1779.7,1954.6
D,2012-05-24,16,1794.3,1946.3
D,2012-05-24,17,1795.9,1944.1
D,2012-05-24,18,1775.3,1940.0
D,2012-05-24,19,1750.4,1919.8
D,2012-05-24,20,1741.0,1911.5
D,2012-05-24,21,1782.6,1961.0
D,2012-05-24,22,1611.5,1864.9
D,2012-05-24,23,1362.0,1645.4
D,2012-05-24,24,1196.4,1447.6
D,2012-05-25,01,1213.8,1305.7
D,2012-05-25,02,1136.5,1228.5
D,2012-05-25,03,1086.6,1184.7
D,2012-05-25,04,1075.2,1169.8
D,2012-05-25,05,1093.6,1196.9
D,2012-05-25,06,1172.5,1286.0
D,2012-05-25,07,1338.3,1472.9
D,2012-05-25,08,1600.0,1645.5
D,2012-05-25,09,1685.9,1736.5
D,2012-05-25,10,1731.5,1794.4
D,2012-05-25,11,1735.1,1845.0
D,2012-05-25,12,1766.7,1870.0
D,2012-05-25,13,1793.1,1879.4
D,2012-05-25,14,1787.0,1886.9
D,2012-05-25,15,1790.4,1868.3
D,2012-05-25,16,1758.7,1858.6
D,2012-05-25,17,1746.7,1860.9
D,2012-05-25,18,1746.8,1856.9
D,2012-05-25,19,1717.6,1851.7
D,2012-05-25,20,1732.7,1854.0
D,2012-05-25,21,1831.6,1893.9
D,2012-05-25,22,1694.9,1820.0
D,2012-05-25,23,1522.3,1654.7
D,2012-05-25,24,1329.7,1473.6
