C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20130630_20130813.csv
C,Time period: 2013-06-30 to 2013-08-13
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:07:56 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2013-06-30,01,1417.6,1662.1
D,2013-06-30,02,1320.5,1560.7
D,2013-06-30,03,1257.3,1495.7
D,2013-06-30,04,1219.3,1457.8
D,2013-06-30,05,1212.7,1446.3
D,2013-06-30,06,1223.2,1442.0
D,2013-06-30,07,1265.6,1473.1
D,2013-06-30,08,1389.5,1595.3
D,2013-06-30,09,1594.0,1765.7
D,2013-06-30,10,1753.3,1925.5
D,2013-06-30,11,1869.4,2059.4
D,2013-06-30,12,1976.5,2177.4
D,2013-06-30,13,2047.4,2269.5
D,2013-06-30,14,2073.4,2338.0
D,2013-06-30,15,2084.9,2360.1
D,2013-06-30,16,2104.3,2356.4
D,2013-06-30,17,2122.2,2364.8
D,2013-06-30,18,2106.8,2388.8
D,2013-06-30,19,2062.7,2360.5
D,2013-06-30,20,2015.6,2315.4
D,2013-06-30,21,2038.6,2330.9
D,2013-06-30,22,1949.9,2265.6
D,2013-06-30,23,1762.8,2063.8
D,2013-06-30,24,1579.1,1845.5
D,2013-07-01,01,1486.3,1683.9
D,2013-07-01,02,1404.9,1593.6
D,2013-07-01,03,1354.8,1540.4
D,2013-07-01,04,1325.3,1518.7
D,2013-07-01,05,1352.0,1539.7
D,2013-07-01,06,1421.1,1618.9
D,2013-07-01,07,1559.8,1770.4
D,2013-07-01,08,1758.5,1981.2
D,2013-07-01,09,1931.0,2130.0
D,2013-07-01,10,2007.7,2242.3
D,2013-07-01,11,2083.5,2324.0
D,2013-07-01,12,2181.6,2397.5
D,2013-07-01,13,2257.7,2464.7
D,2013-07-01,14,2321.0,2531.6
D,2013-07-01,15,2346.8,2591.4
D,2013-07-01,16,2376.3,2618.5
D,2013-07-01,17,2395.5,2628.2
D,2013-07-01,18,2367.4,2616.7
D,2013-07-01,19,2302.3,2582.9
D,2013-07-01,20,2250.6,2534.4
D,2013-07-01,21,2286.8,2522.7
D,2013-07-01,22,2132.8,2413.2
D,2013-07-01,23,1945.7,2171.9
D,2013-07-01,24,1681.8,1922.1
D,2013-07-02,01,1594.0,1741.3
D,2013-07-02,02,1493.1,1635.2
D,2013-07-02,03,1436.8,1580.2
D,2013-07-02,04,1404.7,1559.3
D,2013-07-02,05,1423.6,1581.8
D,2013-07-02,06,1525.5,1658.1
D,2013-07-02,07,1663.7,1827.9
D,2013-07-02,08,1850.5,2021.6
D,2013-07-02,09,2003.0,2184.0
D,2013-07-02,10,2155.8,2316.7
D,2013-07-02,11,2239.2,2419.8
D,2013-07-02,12,2279.1,2496.1
D,2013-07-02,13,2354.0,2548.1
D,2013-07-02,14,2416.1,2584.5
D,2013-07-02,15,2464.2,2607.0
D,2013-07-02,16,2485.8,2654.1
D,2013-07-02,17,2494.6,2671.4
D,2013-07-02,18,2463.7,2688.2
D,2013-07-02,19,2355.7,2623.4
D,2013-07-02,20,2312.5,2523.5
D,2013-07-02,21,2364.8,2493.1
D,2013-07-02,22,2228.5,2380.4
D,2013-07-02,23,1985.2,2141.9
D,2013-07-02,24,1754.4,1902.4
D,2013-07-03,01,1645.1,1723.4
D,2013-07-03,02,1541.0,1602.0
D,2013-07-03,03,1481.2,1531.4
D,2013-07-03,04,1447.9,1498.3
D,2013-07-03,05,1473.2,1511.9
D,2013-07-03,06,1556.0,1580.3
D,2013-07-03,07,1705.9,1769.5
D,2013-07-03,08,1927.7,2023.4
D,2013-07-03,09,2126.8,2225.6
D,2013-07-03,10,2300.0,2390.9
D,2013-07-03,11,2382.9,2518.4
D,2013-07-03,12,2495.5,2575.5
D,2013-07-03,13,2615.4,2696.7
D,2013-07-03,14,2655.1,2832.7
D,2013-07-03,15,2719.4,2906.3
D,2013-07-03,16,2740.5,2946.0
D,2013-07-03,17,2732.9,2984.6
D,2013-07-03,18,2638.0,2970.1
D,2013-07-03,19,2544.1,2900.8
D,2013-07-03,20,2520.2,2782.3
D,2013-07-03,21,2547.0,2708.4
D,2013-07-03,22,2360.8,2603.8
D,2013-07-03,23,2106.4,2385.8
D,2013-07-03,24,1850.9,2165.0
D,2013-07-04,01,1607.3,1959.0
D,2013-07-04,02,1509.3,1812.5
D,2013-07-04,03,1425.3,1719.5
D,2013-07-04,04,1402.4,1667.3
D,2013-07-04,05,1404.3,1654.2
D,2013-07-04,06,1429.0,1659.8
D,2013-07-04,07,1502.1,1750.5
D,2013-07-04,08,1701.0,1955.7
D,2013-07-04,09,1921.7,2228.4
D,2013-07-04,10,2155.0,2488.5
D,2013-07-04,11,2301.0,2699.6
D,2013-07-04,12,2437.2,2858.3
D,2013-07-04,13,2527.8,2945.2
D,2013-07-04,14,2609.0,2975.7
D,2013-07-04,15,2668.9,2988.9
D,2013-07-04,16,2660.5,3005.7
D,2013-07-04,17,2669.1,3036.3
D,2013-07-04,18,2619.7,3033.3
D,2013-07-04,19,2535.1,2960.1
D,2013-07-04,20,2416.3,2845.5
D,2013-07-04,21,2439.7,2761.3
D,2013-07-04,22,2293.4,2664.7
D,2013-07-04,23,2123.2,2499.7
D,2013-07-04,24,1879.6,2276.6
D,2013-07-05,01,1834.2,2073.2
D,2013-07-05,02,1679.8,1931.0
D,2013-07-05,03,1558.3,1841.1
D,2013-07-05,04,1521.2,1781.7
D,2013-07-05,05,1508.3,1773.3
D,2013-07-05,06,1578.3,1782.8
D,2013-07-05,07,1740.8,1932.5
D,2013-07-05,08,1985.5,2194.4
D,2013-07-05,09,2259.8,2469.0
D,2013-07-05,10,2514.7,2732.6
D,2013-07-05,11,2650.7,2949.6
D,2013-07-05,12,2796.2,3104.6
D,2013-07-05,13,2914.9,3196.9
