C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20140401_20140515.csv
C,Time period: 2014-04-01 to 2014-05-15
C,Location/Node: .Z.SEMASS
C,Report generated 2015-11-30 18:14:52 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2014-04-01,01,1258.0,1389.6
D,2014-04-01,02,1233.2,1333.9
D,2014-04-01,03,1199.6,1312.6
D,2014-04-01,04,1179.7,1311.7
D,2014-04-01,05,1224.4,1348.9
D,2014-04-01,06,1361.5,1486.4
D,2014-04-01,07,1575.8,1707.8
D,2014-04-01,08,1717.0,1810.6
D,2014-04-01,09,1752.5,1812.3
D,2014-04-01,10,1701.6,1816.0
D,2014-04-01,11,1696.9,1797.5
D,2014-04-01,12,1659.2,1770.9
D,2014-04-01,13,1634.4,1723.5
D,2014-04-01,14,1605.2,1689.7
D,2014-04-01,15,1567.4,1646.2
D,2014-04-01,16,1545.9,1625.5
D,2014-04-01,17,1569.8,1636.9
D,2014-04-01,18,1606.0,1687.4
D,2014-04-01,19,1677.9,1770.3
D,2014-04-01,20,1800.1,1905.3
D,2014-04-01,21,1794.1,1888.6
D,2014-04-01,22,1664.6,1759.3
D,2014-04-01,23,1477.3,1569.6
D,2014-04-01,24,1303.3,1411.1
D,2014-04-02,01,1252.0,1307.7
D,2014-04-02,02,1205.2,1263.3
D,2014-04-02,03,1174.3,1244.4
D,2014-04-02,04,1161.3,1247.2
D,2014-04-02,05,1209.1,1295.2
D,2014-04-02,06,1343.1,1442.0
D,2014-04-02,07,1600.8,1670.4
D,2014-04-02,08,1738.6,1761.6
D,2014-04-02,09,1705.2,1752.4
D,2014-04-02,10,1692.9,1735.8
D,2014-04-02,11,1654.9,1724.6
D,2014-04-02,12,1638.4,1721.9
D,2014-04-02,13,1612.4,1706.6
D,2014-04-02,14,1597.2,1697.1
D,2014-04-02,15,1570.1,1663.2
D,2014-04-02,16,1560.4,1637.6
D,2014-04-02,17,1582.6,1634.5
D,2014-04-02,18,1623.4,1675.5
D,2014-04-02,19,1691.9,1729.0
D,2014-04-02,20,1789.0,1856.9
D,2014-04-02,21,1814.6,1863.3
D,2014-04-02,22,1628.6,1735.4
D,2014-04-02,23,1455.0,1551.3
D,2014-04-02,24,1276.1,1388.2
D,2014-04-03,01,1236.4,1288.6
D,2014-04-03,02,1186.5,1242.7
D,2014-04-03,03,1154.4,1222.9
D,2014-04-03,04,1154.6,1227.1
D,2014-04-03,05,1179.7,1270.9
D,2014-04-03,06,1313.3,1417.4
D,2014-04-03,07,1570.9,1638.3
D,2014-04-03,08,1668.0,1741.3
D,2014-04-03,09,1676.1,1724.8
