C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20110814_20110927.csv
C,Time period: 2011-08-14 to 2011-09-27
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:13:15 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2011-08-14,01,1558.8,1632.8
D,2011-08-14,02,1459.8,1535.4
D,2011-08-14,03,1374.4,1463.4
D,2011-08-14,04,1322.5,1429.4
D,2011-08-14,05,1300.2,1418.7
D,2011-08-14,06,1315.9,1439.7
D,2011-08-14,07,1309.9,1478.0
D,2011-08-14,08,1446.1,1582.3
D,2011-08-14,09,1665.2,1733.7
D,2011-08-14,10,1854.3,1879.6
D,2011-08-14,11,1938.3,1991.3
D,2011-08-14,12,2041.7,2067.6
D,2011-08-14,13,2099.0,2093.2
D,2011-08-14,14,2073.9,2085.5
D,2011-08-14,15,2054.3,2065.0
D,2011-08-14,16,2055.7,2053.4
D,2011-08-14,17,2059.8,2072.0
D,2011-08-14,18,2066.9,2104.3
D,2011-08-14,19,2037.2,2106.0
D,2011-08-14,20,2060.2,2112.6
D,2011-08-14,21,2128.9,2146.2
D,2011-08-14,22,1940.6,2038.8
D,2011-08-14,23,1795.4,1859.8
D,2011-08-14,24,1612.1,1669.0
D,2011-08-15,01,1523.5,1522.2
D,2011-08-15,02,1460.3,1436.8
D,2011-08-15,03,1393.4,1389.1
D,2011-08-15,04,1345.1,1374.8
D,2011-08-15,05,1357.5,1404.0
D,2011-08-15,06,1425.1,1503.5
D,2011-08-15,07,1593.1,1666.7
D,2011-08-15,08,1828.7,1859.0
D,2011-08-15,09,1952.9,2014.4
D,2011-08-15,10,2116.9,2126.1
D,2011-08-15,11,2174.8,2197.7
D,2011-08-15,12,2176.9,2233.6
D,2011-08-15,13,2150.8,2227.2
D,2011-08-15,14,2168.7,2208.3
D,2011-08-15,15,2184.1,2167.3
D,2011-08-15,16,2189.1,2132.5
D,2011-08-15,17,2184.7,2133.8
D,2011-08-15,18,2230.0,2146.9
D,2011-08-15,19,2222.2,2146.0
D,2011-08-15,20,2195.1,2153.0
D,2011-08-15,21,2288.3,2118.5
D,2011-08-15,22,2050.6,1975.7
D,2011-08-15,23,1889.1,1765.8
D,2011-08-15,24,1629.8,1567.2
D,2011-08-16,01,1466.5,1419.6
D,2011-08-16,02,1377.9,1337.8
D,2011-08-16,03,1318.6,1288.0
D,2011-08-16,04,1291.3,1266.8
D,2011-08-16,05,1311.2,1286.7
D,2011-08-16,06,1399.9,1378.4
D,2011-08-16,07,1568.6,1521.5
D,2011-08-16,08,1753.5,1705.2
D,2011-08-16,09,1912.4,1843.6
D,2011-08-16,10,2057.3,1943.1
D,2011-08-16,11,2125.3,2015.1
D,2011-08-16,12,2200.9,2066.2
D,2011-08-16,13,2216.4,2078.8
D,2011-08-16,14,2273.4,2093.3
D,2011-08-16,15,2289.9,2077.7
D,2011-08-16,16,2285.3,2063.9
D,2011-08-16,17,2288.4,2070.8
D,2011-08-16,18,2261.8,2078.4
D,2011-08-16,19,2233.1,2071.6
D,2011-08-16,20,2201.8,2079.8
D,2011-08-16,21,2280.7,2121.1
D,2011-08-16,22,2098.0,1994.0
D,2011-08-16,23,1897.6,1777.6
D,2011-08-16,24,1678.6,1565.0
D,2011-08-17,01,1425.6,1416.7
D,2011-08-17,02,1330.1,1336.4
D,2011-08-17,03,1276.1,1288.5
D,2011-08-17,04,1251.9,1266.7
D,2011-08-17,05,1273.6,1286.0
D,2011-08-17,06,1393.7,1366.6
D,2011-08-17,07,1522.7,1509.4
D,2011-08-17,08,1769.1,1727.7
D,2011-08-17,09,1960.1,1902.1
D,2011-08-17,10,2108.7,2045.1
D,2011-08-17,11,2299.6,2150.4
D,2011-08-17,12,2414.0,2237.1
D,2011-08-17,13,2482.2,2293.8
D,2011-08-17,14,2490.3,2370.1
D,2011-08-17,15,2507.0,2427.0
D,2011-08-17,16,2552.4,2469.4
D,2011-08-17,17,2549.3,2494.3
D,2011-08-17,18,2506.0,2492.5
D,2011-08-17,19,2398.0,2438.7
D,2011-08-17,20,2352.4,2396.1
D,2011-08-17,21,2417.5,2429.2
D,2011-08-17,22,2196.7,2282.3
D,2011-08-17,23,2029.3,2038.0
D,2011-08-17,24,1762.8,1799.6
D,2011-08-18,01,1568.4,1618.0
D,2011-08-18,02,1481.4,1507.8
D,2011-08-18,03,1410.6,1436.9
D,2011-08-18,04,1359.0,1405.2
D,2011-08-18,05,1369.8,1422.5
D,2011-08-18,06,1454.6,1509.1
D,2011-08-18,07,1603.6,1653.3
D,2011-08-18,08,1815.9,1876.9
D,2011-08-18,09,2034.7,2081.3
D,2011-08-18,10,2219.7,2262.9
D,2011-08-18,11,2344.1,2406.7
D,2011-08-18,12,2422.1,2531.0
D,2011-08-18,13,2507.3,2609.2
D,2011-08-18,14,2516.2,2677.1
D,2011-08-18,15,2549.2,2692.3
D,2011-08-18,16,2546.5,2719.0
D,2011-08-18,17,2582.2,2710.6
D,2011-08-18,18,2569.2,2670.9
D,2011-08-18,19,2447.9,2597.1
D,2011-08-18,20,2380.5,2543.7
D,2011-08-18,21,2462.6,2559.6
D,2011-08-18,22,2232.4,2415.3
D,2011-08-18,23,2019.0,2175.1
D,2011-08-18,24,1805.1,1942.9
D,2011-08-19,01,1600.1,1758.4
D,2011-08-19,02,1486.7,1649.1
D,2011-08-19,03,1399.9,1577.8
D,2011-08-19,04,1384.6,1540.5
D,2011-08-19,05,1393.5,1547.2
D,2011-08-19,06,1500.0,1626.6
D,2011-08-19,07,1678.4,1764.8
D,2011-08-19,08,1885.1,1975.2
D,2011-08-19,09,2048.2,2172.0
D,2011-08-19,10,2198.6,2359.4
D,2011-08-19,11,2292.4,2530.1
D,2011-08-19,12,2372.6,2656.9
