C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20150215_20150331.csv
C,Time period: 2015-02-15 to 2015-03-31
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:04:22 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2015-02-15,01,1506.1,1528.1
D,2015-02-15,02,1450.8,1484.5
D,2015-02-15,03,1422.7,1473.9
D,2015-02-15,04,1425.0,1469.3
D,2015-02-15,05,1431.7,1483.9
D,2015-02-15,06,1486.3,1516.6
D,2015-02-15,07,1533.6,1566.6
D,2015-02-15,08,1605.6,1637.4
D,2015-02-15,09,1717.1,1754.6
D,2015-02-15,10,1830.1,1846.1
D,2015-02-15,11,1875.6,1900.9
D,2015-02-15,12,1906.1,1940.5
D,2015-02-15,13,1912.0,1954.5
D,2015-02-15,14,1905.0,1947.9
D,2015-02-15,15,1891.3,1942.7
D,2015-02-15,16,1891.4,1965.4
D,2015-02-15,17,1969.3,2036.0
D,2015-02-15,18,2162.9,2245.7
D,2015-02-15,19,2199.6,2334.0
D,2015-02-15,20,2154.9,2252.8
D,2015-02-15,21,2065.7,2158.2
D,2015-02-15,22,1945.0,2044.8
D,2015-02-15,23,1820.5,1925.5
D,2015-02-15,24,1696.1,1820.0
D,2015-02-16,01,1605.5,1746.9
D,2015-02-16,02,1562.8,1711.6
D,2015-02-16,03,1556.1,1696.8
D,2015-02-16,04,1559.0,1703.4
D,2015-02-16,05,1587.2,1732.7
D,2015-02-16,06,1687.9,1813.0
D,2015-02-16,07,1850.7,1918.7
D,2015-02-16,08,1973.0,2023.1
D,2015-02-16,09,2029.5,2106.7
D,2015-02-16,10,2079.6,2165.9
D,2015-02-16,11,2106.4,2185.0
D,2015-02-16,12,2104.5,2174.6
D,2015-02-16,13,2083.8,2143.1
D,2015-02-16,14,2043.8,2094.3
D,2015-02-16,15,2006.8,2054.7
D,2015-02-16,16,1997.5,2051.2
D,2015-02-16,17,2068.5,2130.7
D,2015-02-16,18,2244.7,2310.0
D,2015-02-16,19,2316.4,2372.5
D,2015-02-16,20,2263.6,2311.6
D,2015-02-16,21,2147.3,2218.8
D,2015-02-16,22,2013.1,2080.9
D,2015-02-16,23,1857.6,1912.3
D,2015-02-16,24,1712.4,1765.0
D,2015-02-17,01,1613.9,1671.7
D,2015-02-17,02,1569.8,1619.6
D,2015-02-17,03,1578.1,1595.8
D,2015-02-17,04,1577.5,1594.6
D,2015-02-17,05,1605.3,1634.8
D,2015-02-17,06,1731.4,1739.8
D,2015-02-17,07,1937.5,1909.4
D,2015-02-17,08,2051.8,2025.3
D,2015-02-17,09,2067.7,2105.7
D,2015-02-17,10,2104.7,2148.9
D,2015-02-17,11,2103.6,2165.9
D,2015-02-17,12,2094.0,2165.6
D,2015-02-17,13,2070.7,2157.5
D,2015-02-17,14,2053.7,2120.5
D,2015-02-17,15,2036.5,2079.8
D,2015-02-17,16,2039.3,2056.4
D,2015-02-17,17,2111.7,2093.8
D,2015-02-17,18,2267.4,2234.6
D,2015-02-17,19,2312.5,2292.5
D,2015-02-17,20,2232.5,2235.4
D,2015-02-17,21,2143.9,2145.5
D,2015-02-17,22,1983.4,2001.1
D,2015-02-17,23,1827.1,1830.4
D,2015-02-17,24,1667.6,1681.4
D,2015-02-18,01,1572.6,1584.9
D,2015-02-18,02,1531.3,1527.4
D,2015-02-18,03,1518.2,1500.6
D,2015-02-18,04,1521.5,1500.9
D,2015-02-18,05,1548.7,1541.6
D,2015-02-18,06,1678.7,1654.4
D,2015-02-18,07,1888.4,1811.6
D,2015-02-18,08,2007.0,1927.0
D,2015-02-18,09,2024.6,1970.6
D,2015-02-18,10,2056.0,1981.4
D,2015-02-18,11,2050.5,1982.4
D,2015-02-18,12,2022.6,1960.0
D,2015-02-18,13,1957.2,1939.0
D,2015-02-18,14,1946.9,1939.0
D,2015-02-18,15,1934.7,1925.4
D,2015-02-18,16,1961.6,1922.6
D,2015-02-18,17,2040.9,1972.4
D,2015-02-18,18,2210.3,2116.8
D,2015-02-18,19,2213.8,2175.8
D,2015-02-18,20,2236.8,2126.7
D,2015-02-18,21,2127.4,2040.6
D,2015-02-18,22,1983.1,1911.0
D,2015-02-18,23,1795.3,1744.7
D,2015-02-18,24,1629.0,1601.8
D,2015-02-19,01,1527.2,1503.6
D,2015-02-19,02,1479.9,1450.2
D,2015-02-19,03,1463.3,1427.0
D,2015-02-19,04,1464.7,1430.0
D,2015-02-19,05,1495.5,1476.2
D,2015-02-19,06,1644.3,1592.8
D,2015-02-19,07,1846.5,1754.3
D,2015-02-19,08,1967.8,1859.0
D,2015-02-19,09,1967.8,1901.2
D,2015-02-19,10,2000.9,1910.9
D,2015-02-19,11,2051.8,1921.6
D,2015-02-19,12,2003.1,1937.4
D,2015-02-19,13,1990.0,1935.5
D,2015-02-19,14,1974.8,1925.9
D,2015-02-19,15,1945.0,1914.1
D,2015-02-19,16,1964.7,1930.1
D,2015-02-19,17,2068.6,1998.7
D,2015-02-19,18,2293.5,2164.1
D,2015-02-19,19,2304.5,2267.8
D,2015-02-19,20,2336.8,2246.2
D,2015-02-19,21,2221.8,2183.0
D,2015-02-19,22,2076.3,2062.9
D,2015-02-19,23,1905.9,1906.1
D,2015-02-19,24,1745.9,1771.4
D,2015-02-20,01,1609.9,1683.5
D,2015-02-20,02,1569.5,1639.5
D,2015-02-20,03,1557.1,1625.5
D,2015-02-20,04,1557.7,1633.1
D,2015-02-20,05,1589.8,1677.7
D,2015-02-20,06,1719.2,1794.8
D,2015-02-20,07,1946.8,1958.3
D,2015-02-20,08,2063.7,2073.1
D,2015-02-20,09,2089.3,2128.3
D,2015-02-20,10,2105.1,2145.6
D,2015-02-20,11,2112.7,2137.0
D,2015-02-20,12,2113.8,2115.9
D,2015-02-20,13,2090.4,2085.2
D,2015-02-20,14,2049.5,2058.5
D,2015-02-20,15,2010.2,2026.6
D,2015-02-20,16,2004.0,2018.3
D,2015-02-20,17,2059.6,2063.4
D,2015-02-20,18,2226.9,2202.1
D,2015-02-20,19,2273.7,2291.5
D,2015-02-20,20,2224.1,2252.1
D,2015-02-20,21,2141.5,2191.4
D,2015-02-20,22,2028.0,2086.9
D,2015-02-20,23,1890.0,1946.2
D,2015-02-20,24,1732.4,1826.6
D,2015-02-21,01,1650.7,1727.2
D,2015-02-21,02,1594.1,1682.4
D,2015-02-21,03,1619.3,1663.6
D,2015-02-21,04,1615.1,1663.4
D,2015-02-21,05,1591.5,1689.9
D,2015-02-21,06,1643.7,1751.7
D,2015-02-21,07,1732.4,1841.0
D,2015-02-21,08,1826.6,1931.2
D,2015-02-21,09,1901.5,1988.9
D,2015-02-21,10,1948.4,2003.6
D,2015-02-21,11,1965.5,1990.1
D,2015-02-21,12,1952.8,1959.5
D,2015-02-21,13,1889.1,1928.9
D,2015-02-21,14,1859.1,1927.9
D,2015-02-21,15,1830.2,1921.1
D,2015-02-21,16,1852.3,1931.3
D,2015-02-21,17,1918.1,1977.8
D,2015-02-21,18,2049.7,2095.5
D,2015-02-21,19,2065.8,2119.6
D,2015-02-21,20,2009.6,2047.6
D,2015-02-21,21,1919.2,1957.8
D,2015-02-21,22,1813.2,1845.1
D,2015-02-21,23,1678.7,1704.9
D,2015-02-21,24,1526.5,1570.8
D,2015-02-22,01,1388.0,1470.6
D,2015-02-22,02,1326.0,1409.2
D,2015-02-22,03,1284.3,1370.6
D,2015-02-22,04,1269.4,1350.5
D,2015-02-22,05,1274.8,1355.8
D,2015-02-22,06,1316.6,1390.7
D,2015-02-22,07,1362.0,1444.9
D,2015-02-22,08,1438.3,1525.6
D,2015-02-22,09,1551.9,1649.2
D,2015-02-22,10,1629.3,1753.0
D,2015-02-22,11,1661.3,1812.6
D,2015-02-22,12,1673.2,1843.3
D,2015-02-22,13,1677.3,1824.8
D,2015-02-22,14,1652.6,1778.0
D,2015-02-22,15,1639.3,1734.9
D,2015-02-22,16,1655.8,1737.1
D,2015-02-22,17,1737.7,1793.5
D,2015-02-22,18,1927.2,1967.0
D,2015-02-22,19,1959.4,2065.9
D,2015-02-22,20,1892.0,2015.2
D,2015-02-22,21,1817.5,1932.4
D,2015-02-22,22,1716.2,1796.4
D,2015-02-22,23,1598.1,1652.2
D,2015-02-22,24,1471.4,1525.7
D,2015-02-23,01,1468.2,1446.3
D,2015-02-23,02,1433.9,1402.7
D,2015-02-23,03,1427.3,1386.0
D,2015-02-23,04,1441.8,1391.3
D,2015-02-23,05,1462.1,1422.7
D,2015-02-23,06,1592.2,1557.1
D,2015-02-23,07,1810.9,1774.7
D,2015-02-23,08,1907.8,1892.4
D,2015-02-23,09,1977.8,1942.7
D,2015-02-23,10,2012.5,1986.8
D,2015-02-23,11,2048.7,1995.1
D,2015-02-23,12,2031.8,1983.8
D,2015-02-23,13,2024.3,1972.8
D,2015-02-23,14,1995.8,1962.6
D,2015-02-23,15,1975.1,1949.0
D,2015-02-23,16,1983.0,1965.1
D,2015-02-23,17,2049.7,2040.4
D,2015-02-23,18,2223.9,2214.5
D,2015-02-23,19,2309.3,2333.0
D,2015-02-23,20,2270.7,2304.1
D,2015-02-23,21,2172.7,2234.0
D,2015-02-23,22,2052.9,2106.8
D,2015-02-23,23,1885.0,1938.6
D,2015-02-23,24,1736.8,1800.4
D,2015-02-24,01,1680.2,1706.1
D,2015-02-24,02,1637.1,1673.3
D,2015-02-24,03,1631.3,1652.4
D,2015-02-24,04,1634.8,1664.2
D,2015-02-24,05,1683.1,1720.6
D,2015-02-24,06,1809.4,1863.7
D,2015-02-24,07,2037.3,2080.1
D,2015-02-24,08,2113.9,2163.9
D,2015-02-24,09,2132.9,2150.6
D,2015-02-24,10,2133.2,2135.6
D,2015-02-24,11,2119.1,2103.0
D,2015-02-24,12,2105.5,2056.4
D,2015-02-24,13,2067.9,2015.1
D,2015-02-24,14,2037.3,1994.5
D,2015-02-24,15,2018.3,1993.3
D,2015-02-24,16,2012.4,2002.8
D,2015-02-24,17,2076.8,2090.4
D,2015-02-24,18,2231.4,2268.2
D,2015-02-24,19,2295.5,2377.3
D,2015-02-24,20,2258.6,2335.7
D,2015-02-24,21,2154.8,2242.1
D,2015-02-24,22,2008.1,2086.7
D,2015-02-24,23,1833.2,1884.7
D,2015-02-24,24,1675.7,1720.6
D,2015-02-25,01,1555.3,1619.4
D,2015-02-25,02,1499.6,1567.1
D,2015-02-25,03,1473.8,1539.2
D,2015-02-25,04,1469.4,1537.0
D,2015-02-25,05,1477.7,1564.8
D,2015-02-25,06,1608.5,1690.5
D,2015-02-25,07,1874.7,1886.3
D,2015-02-25,08,2009.1,1983.6
D,2015-02-25,09,1966.1,1983.6
D,2015-02-25,10,1967.3,1971.0
D,2015-02-25,11,1961.2,1956.1
D,2015-02-25,12,1942.4,1925.0
D,2015-02-25,13,1925.3,1875.3
D,2015-02-25,14,1947.9,1840.1
D,2015-02-25,15,1929.0,1810.7
D,2015-02-25,16,1939.1,1822.4
D,2015-02-25,17,2001.7,1898.4
D,2015-02-25,18,2141.3,2064.3
D,2015-02-25,19,2208.3,2185.7
D,2015-02-25,20,2225.3,2158.3
D,2015-02-25,21,2137.3,2078.7
D,2015-02-25,22,2009.1,1939.2
D,2015-02-25,23,1838.9,1766.2
D,2015-02-25,24,1626.9,1620.2
D,2015-02-26,01,1549.2,1535.9
D,2015-02-26,02,1507.0,1490.3
D,2015-02-26,03,1490.5,1475.5
D,2015-02-26,04,1496.8,1481.0
D,2015-02-26,05,1538.4,1529.8
D,2015-02-26,06,1662.1,1667.1
D,2015-02-26,07,1874.1,1880.4
D,2015-02-26,08,1977.7,1991.3
D,2015-02-26,09,2016.4,2032.6
D,2015-02-26,10,1998.8,2055.1
D,2015-02-26,11,1997.2,2067.1
D,2015-02-26,12,1981.4,2066.6
D,2015-02-26,13,1966.0,2051.2
D,2015-02-26,14,1935.4,2021.0
D,2015-02-26,15,1920.1,1991.2
D,2015-02-26,16,1923.0,2005.7
D,2015-02-26,17,1996.7,2064.0
D,2015-02-26,18,2157.9,2185.0
D,2015-02-26,19,2244.8,2268.3
D,2015-02-26,20,2186.0,2232.0
D,2015-02-26,21,2112.3,2149.9
D,2015-02-26,22,1974.5,2004.6
D,2015-02-26,23,1808.6,1822.5
D,2015-02-26,24,1680.3,1667.8
D,2015-02-27,01,1543.6,1579.8
D,2015-02-27,02,1502.0,1538.3
D,2015-02-27,03,1488.8,1525.8
D,2015-02-27,04,1489.2,1536.4
D,2015-02-27,05,1524.3,1588.4
D,2015-02-27,06,1656.5,1725.4
D,2015-02-27,07,1860.2,1934.1
D,2015-02-27,08,1971.1,2022.5
D,2015-02-27,09,1986.3,2022.9
D,2015-02-27,10,1988.0,2006.7
D,2015-02-27,11,1983.1,1978.1
D,2015-02-27,12,1969.5,1939.1
D,2015-02-27,13,1942.4,1891.6
D,2015-02-27,14,1906.0,1855.1
D,2015-02-27,15,1892.3,1831.4
D,2015-02-27,16,1881.0,1852.4
D,2015-02-27,17,1950.5,1911.2
D,2015-02-27,18,2101.9,2039.6
D,2015-02-27,19,2167.3,2162.4
D,2015-02-27,20,2131.1,2136.4
D,2015-02-27,21,2056.8,2079.3
D,2015-02-27,22,1935.1,1986.4
D,2015-02-27,23,1791.3,1848.7
D,2015-02-27,24,1637.6,1717.9
D,2015-02-28,01,1558.0,1627.0
D,2015-02-28,02,1501.0,1582.5
D,2015-02-28,03,1480.0,1565.4
D,2015-02-28,04,1474.2,1562.1
D,2015-02-28,05,1499.2,1571.3
D,2015-02-28,06,1552.6,1633.9
D,2015-02-28,07,1646.2,1720.2
D,2015-02-28,08,1722.6,1814.3
D,2015-02-28,09,1809.9,1879.7
D,2015-02-28,10,1877.2,1909.4
D,2015-02-28,11,1891.8,1898.0
D,2015-02-28,12,1885.5,1861.3
D,2015-02-28,13,1853.3,1805.1
D,2015-02-28,14,1797.1,1756.1
D,2015-02-28,15,1791.0,1725.1
D,2015-02-28,16,1788.9,1727.0
D,2015-02-28,17,1855.2,1786.6
D,2015-02-28,18,2014.5,1930.4
D,2015-02-28,19,2069.5,2048.4
D,2015-02-28,20,2026.3,2015.3
D,2015-02-28,21,1947.3,1964.7
D,2015-02-28,22,1842.8,1889.4
D,2015-02-28,23,1723.9,1775.6
D,2015-02-28,24,1595.0,1665.5
D,2015-03-01,01,1542.4,1585.1
D,2015-03-01,02,1506.5,1543.6
D,2015-03-01,03,1476.1,1531.9
D,2015-03-01,04,1468.5,1531.5
D,2015-03-01,05,1479.5,1548.6
D,2015-03-01,06,1488.6,1594.3
D,2015-03-01,07,1559.5,1640.5
D,2015-03-01,08,1622.5,1725.7
D,2015-03-01,09,1705.8,1799.4
D,2015-03-01,10,1760.4,1832.7
D,2015-03-01,11,1788.5,1864.3
D,2015-03-01,12,1787.4,1879.9
D,2015-03-01,13,1759.2,1869.9
D,2015-03-01,14,1723.0,1866.7
D,2015-03-01,15,1703.2,1865.9
D,2015-03-01,16,1716.8,1897.3
D,2015-03-01,17,1791.7,1967.0
D,2015-03-01,18,1926.2,2107.2
D,2015-03-01,19,1989.1,2159.9
D,2015-03-01,20,1953.7,2092.1
D,2015-03-01,21,1875.9,1985.4
D,2015-03-01,22,1754.2,1838.5
