C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20121225_20121231.csv
C,Time period: 2012-12-25 to 2012-12-31
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:12:07 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2012-12-25,01,1346.9,1461.9
D,2012-12-25,02,1247.9,1362.1
D,2012-12-25,03,1199.8,1307.0
D,2012-12-25,04,1163.6,1281.5
D,2012-12-25,05,1176.9,1283.3
D,2012-12-25,06,1232.8,1323.0
D,2012-12-25,07,1329.3,1401.3
D,2012-12-25,08,1425.4,1514.8
D,2012-12-25,09,1539.3,1667.1
D,2012-12-25,10,1596.4,1788.6
D,2012-12-25,11,1612.5,1847.6
D,2012-12-25,12,1632.7,1878.7
D,2012-12-25,13,1625.0,1877.5
D,2012-12-25,14,1586.6,1826.5
D,2012-12-25,15,1559.0,1765.6
D,2012-12-25,16,1564.8,1741.1
D,2012-12-25,17,1722.5,1839.2
D,2012-12-25,18,1835.8,1908.8
D,2012-12-25,19,1835.4,1912.6
D,2012-12-25,20,1781.8,1913.1
D,2012-12-25,21,1708.7,1904.7
D,2012-12-25,22,1657.8,1833.8
D,2012-12-25,23,1532.5,1696.5
D,2012-12-25,24,1394.8,1536.7
D,2012-12-26,01,1307.4,1426.1
D,2012-12-26,02,1233.0,1360.2
D,2012-12-26,03,1198.2,1332.4
D,2012-12-26,04,1189.2,1328.7
D,2012-12-26,05,1227.9,1363.1
D,2012-12-26,06,1349.0,1474.4
D,2012-12-26,07,1550.8,1619.2
D,2012-12-26,08,1703.0,1751.0
D,2012-12-26,09,1779.1,1851.7
D,2012-12-26,10,1788.0,1912.1
D,2012-12-26,11,1759.3,1935.1
D,2012-12-26,12,1753.1,1959.1
D,2012-12-26,13,1740.4,1955.4
D,2012-12-26,14,1714.3,1960.2
D,2012-12-26,15,1696.3,1943.7
D,2012-12-26,16,1755.8,2008.1
D,2012-12-26,17,1972.4,2195.2
D,2012-12-26,18,2071.9,2291.0
D,2012-12-26,19,2087.2,2273.3
D,2012-12-26,20,2001.6,2217.4
D,2012-12-26,21,1959.9,2130.0
D,2012-12-26,22,1829.9,1984.0
D,2012-12-26,23,1629.1,1785.1
D,2012-12-26,24,1436.4,1591.2
D,2012-12-27,01,1284.3,1453.2
D,2012-12-27,02,1208.0,1378.3
D,2012-12-27,03,1169.1,1342.1
D,2012-12-27,04,1161.6,1329.1
D,2012-12-27,05,1192.6,1346.9
D,2012-12-27,06,1294.7,1431.2
D,2012-12-27,07,1475.0,1563.6
D,2012-12-27,08,1601.6,1706.2
D,2012-12-27,09,1677.0,1803.7
D,2012-12-27,10,1743.2,1882.1
D,2012-12-27,11,1732.1,1929.0
D,2012-12-27,12,1733.3,1944.2
D,2012-12-27,13,1676.8,1921.8
D,2012-12-27,14,1674.1,1921.9
D,2012-12-27,15,1663.2,1921.8
D,2012-12-27,16,1697.5,1972.9
D,2012-12-27,17,1940.3,2123.0
D,2012-12-27,18,2045.1,2230.3
D,2012-12-27,19,2037.4,2233.7
D,2012-12-27,20,1966.8,2190.7
D,2012-12-27,21,1926.1,2111.2
D,2012-12-27,22,1761.4,1971.5
D,2012-12-27,23,1587.1,1776.7
D,2012-12-27,24,1436.0,1589.4
D,2012-12-28,01,1301.8,1452.2
D,2012-12-28,02,1228.8,1380.5
D,2012-12-28,03,1191.9,1342.8
D,2012-12-28,04,1186.1,1331.3
D,2012-12-28,05,1224.6,1371.2
D,2012-12-28,06,1319.1,1479.3
D,2012-12-28,07,1519.8,1643.8
D,2012-12-28,08,1649.4,1768.8
D,2012-12-28,09,1723.0,1854.7
D,2012-12-28,10,1698.1,1902.2
D,2012-12-28,11,1696.2,1920.0
D,2012-12-28,12,1699.5,1908.4
D,2012-12-28,13,1638.4,1879.4
D,2012-12-28,14,1606.4,1858.5
D,2012-12-28,15,1589.4,1839.1
D,2012-12-28,16,1623.4,1860.5
D,2012-12-28,17,1891.2,2042.5
D,2012-12-28,18,2073.6,2210.2
D,2012-12-28,19,2055.5,2207.8
D,2012-12-28,20,1983.6,2154.8
D,2012-12-28,21,1916.7,2080.8
D,2012-12-28,22,1751.8,1959.2
D,2012-12-28,23,1603.0,1787.8
D,2012-12-28,24,1437.9,1611.5
D,2012-12-29,01,1343.3,1478.1
D,2012-12-29,02,1255.0,1408.8
D,2012-12-29,03,1208.5,1367.2
D,2012-12-29,04,1188.5,1355.3
D,2012-12-29,05,1195.5,1368.4
D,2012-12-29,06,1244.7,1413.8
D,2012-12-29,07,1318.1,1495.8
D,2012-12-29,08,1428.1,1592.5
D,2012-12-29,09,1586.3,1720.6
D,2012-12-29,10,1640.4,1828.4
D,2012-12-29,11,1659.5,1878.4
D,2012-12-29,12,1672.0,1889.1
D,2012-12-29,13,1663.6,1887.2
D,2012-12-29,14,1646.6,1881.4
D,2012-12-29,15,1619.9,1890.2
D,2012-12-29,16,1621.3,1952.3
D,2012-12-29,17,1900.7,2126.6
D,2012-12-29,18,2065.0,2219.2
D,2012-12-29,19,1974.6,2199.2
D,2012-12-29,20,1831.3,2133.9
D,2012-12-29,21,1795.4,2040.5
D,2012-12-29,22,1677.9,1914.6
D,2012-12-29,23,1567.2,1752.0
D,2012-12-29,24,1403.5,1581.2
D,2012-12-30,01,1318.8,1454.1
D,2012-12-30,02,1244.5,1380.5
D,2012-12-30,03,1198.8,1339.0
D,2012-12-30,04,1175.1,1318.4
D,2012-12-30,05,1182.7,1334.5
D,2012-12-30,06,1221.3,1373.0
D,2012-12-30,07,1267.4,1439.3
D,2012-12-30,08,1351.6,1509.3
D,2012-12-30,09,1504.5,1625.3
D,2012-12-30,10,1576.6,1727.1
D,2012-12-30,11,1607.4,1788.2
D,2012-12-30,12,1615.6,1828.2
D,2012-12-30,13,1601.2,1858.9
D,2012-12-30,14,1596.8,1859.3
D,2012-12-30,15,1601.0,1848.8
D,2012-12-30,16,1666.9,1877.0
D,2012-12-30,17,1945.8,2077.8
D,2012-12-30,18,2071.5,2242.8
D,2012-12-30,19,2051.9,2237.9
D,2012-12-30,20,1934.3,2171.8
D,2012-12-30,21,1913.1,2103.8
