C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20140630_20140813.csv
C,Time period: 2014-06-30 to 2014-08-13
C,Location/Node: .Z.SEMASS
C,Report generated 2015-11-30 18:15:33 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2014-06-30,01,1373.9,1423.0
D,2014-06-30,02,1284.6,1335.2
D,2014-06-30,03,1236.9,1288.6
D,2014-06-30,04,1216.6,1272.9
D,2014-06-30,05,1246.0,1304.0
D,2014-06-30,06,1326.0,1374.6
D,2014-06-30,07,1491.6,1545.7
D,2014-06-30,08,1682.1,1751.4
D,2014-06-30,09,1810.6,1901.2
D,2014-06-30,10,1963.7,2038.9
D,2014-06-30,11,2099.9,2164.9
D,2014-06-30,12,2175.4,2265.7
D,2014-06-30,13,2229.9,2358.2
D,2014-06-30,14,2273.4,2446.1
D,2014-06-30,15,2315.2,2510.2
D,2014-06-30,16,2346.2,2574.8
D,2014-06-30,17,2349.0,2625.0
D,2014-06-30,18,2335.1,2645.1
D,2014-06-30,19,2249.5,2609.0
D,2014-06-30,20,2190.3,2520.4
D,2014-06-30,21,2192.1,2469.4
D,2014-06-30,22,2075.0,2360.6
D,2014-06-30,23,1833.1,2091.0
D,2014-06-30,24,1587.8,1833.1
D,2014-07-01,01,1559.9,1645.4
D,2014-07-01,02,1463.9,1535.1
D,2014-07-01,03,1402.0,1471.5
D,2014-07-01,04,1351.0,1446.0
D,2014-07-01,05,1373.5,1470.0
D,2014-07-01,06,1462.3,1535.1
D,2014-07-01,07,1630.1,1716.8
D,2014-07-01,08,1836.2,1945.4
D,2014-07-01,09,1982.7,2133.3
D,2014-07-01,10,2121.8,2295.5
D,2014-07-01,11,2263.3,2450.3
D,2014-07-01,12,2408.1,2571.7
D,2014-07-01,13,2490.3,2656.7
D,2014-07-01,14,2553.7,2732.9
D,2014-07-01,15,2600.5,2759.6
D,2014-07-01,16,2621.5,2797.1
D,2014-07-01,17,2632.5,2814.5
D,2014-07-01,18,2597.4,2800.7
D,2014-07-01,19,2513.9,2753.5
D,2014-07-01,20,2459.8,2672.0
D,2014-07-01,21,2426.0,2626.2
D,2014-07-01,22,2311.7,2503.7
D,2014-07-01,23,2089.9,2241.7
D,2014-07-01,24,1823.5,1974.5
D,2014-07-02,01,1711.7,1787.8
D,2014-07-02,02,1592.0,1675.4
D,2014-07-02,03,1500.5,1606.0
D,2014-07-02,04,1462.2,1578.0
D,2014-07-02,05,1486.0,1583.2
D,2014-07-02,06,1571.4,1648.0
D,2014-07-02,07,1744.4,1834.6
D,2014-07-02,08,1970.0,2074.4
D,2014-07-02,09,2141.7,2269.2
D,2014-07-02,10,2289.3,2457.7
D,2014-07-02,11,2493.5,2620.0
D,2014-07-02,12,2613.9,2760.5
D,2014-07-02,13,2703.8,2866.3
D,2014-07-02,14,2762.6,2952.9
D,2014-07-02,15,2804.6,3003.4
D,2014-07-02,16,2821.8,3037.4
D,2014-07-02,17,2817.6,3053.5
D,2014-07-02,18,2759.0,3006.9
D,2014-07-02,19,2660.6,2917.0
D,2014-07-02,20,2600.8,2832.2
D,2014-07-02,21,2562.6,2804.7
D,2014-07-02,22,2465.3,2669.9
D,2014-07-02,23,2175.7,2398.4
D,2014-07-02,24,1898.2,2123.5
D,2014-07-03,01,1783.4,1927.8
D,2014-07-03,02,1668.0,1809.6
D,2014-07-03,03,1603.2,1747.3
D,2014-07-03,04,1554.4,1717.1
D,2014-07-03,05,1544.8,1731.2
D,2014-07-03,06,1633.3,1802.9
D,2014-07-03,07,1839.5,1952.3
D,2014-07-03,08,2073.3,2179.6
D,2014-07-03,09,2230.8,2384.3
D,2014-07-03,10,2372.9,2571.0
D,2014-07-03,11,2514.4,2678.7
D,2014-07-03,12,2625.1,2795.2
D,2014-07-03,13,2695.9,2890.7
D,2014-07-03,14,2768.7,2983.7
D,2014-07-03,15,2793.8,3050.3
D,2014-07-03,16,2800.1,3099.8
D,2014-07-03,17,2798.9,3114.0
D,2014-07-03,18,2735.6,3106.5
D,2014-07-03,19,2680.5,3020.1
D,2014-07-03,20,2600.1,2877.1
D,2014-07-03,21,2559.2,2787.7
D,2014-07-03,22,2433.7,2656.7
D,2014-07-03,23,2170.8,2436.0
D,2014-07-03,24,1924.0,2201.0
D,2014-07-04,01,1728.0,1963.0
D,2014-07-04,02,1611.4,1787.6
D,2014-07-04,03,1514.3,1683.4
D,2014-07-04,04,1482.0,1614.2
D,2014-07-04,05,1459.0,1588.0
D,2014-07-04,06,1460.8,1577.0
D,2014-07-04,07,1510.3,1656.1
D,2014-07-04,08,1659.8,1790.7
D,2014-07-04,09,1829.4,1963.9
D,2014-07-04,10,1970.3,2110.7
D,2014-07-04,11,2075.4,2187.5
D,2014-07-04,12,2152.6,2263.5
D,2014-07-04,13,2155.2,2293.8
D,2014-07-04,14,2164.3,2243.4
D,2014-07-04,15,2146.7,2170.0
D,2014-07-04,16,2138.4,2106.0
D,2014-07-04,17,2137.1,2083.1
D,2014-07-04,18,2123.5,2087.1
D,2014-07-04,19,2071.8,2029.7
D,2014-07-04,20,2016.8,1969.0
D,2014-07-04,21,1986.6,1931.0
D,2014-07-04,22,1892.5,1840.4
D,2014-07-04,23,1750.4,1692.0
D,2014-07-04,24,1587.0,1528.8
D,2014-07-05,01,1428.5,1397.2
D,2014-07-05,02,1346.0,1314.6
D,2014-07-05,03,1284.6,1263.5
D,2014-07-05,04,1246.6,1231.8
D,2014-07-05,05,1251.1,1220.2
D,2014-07-05,06,1259.7,1229.9
D,2014-07-05,07,1311.9,1279.0
D,2014-07-05,08,1420.5,1388.0
D,2014-07-05,09,1580.6,1538.3
D,2014-07-05,10,1717.8,1663.0
D,2014-07-05,11,1816.3,1733.9
D,2014-07-05,12,1888.7,1764.8
D,2014-07-05,13,1927.1,1772.5
D,2014-07-05,14,1955.0,1773.1
D,2014-07-05,15,2000.8,1785.1
D,2014-07-05,16,2028.0,1820.2
D,2014-07-05,17,2081.6,1869.5
D,2014-07-05,18,2081.3,1916.3
D,2014-07-05,19,2021.0,1915.4
D,2014-07-05,20,1976.1,1867.8
D,2014-07-05,21,1983.6,1865.6
D,2014-07-05,22,1935.3,1839.2
D,2014-07-05,23,1753.9,1730.0
D,2014-07-05,24,1562.7,1581.9
D,2014-07-06,01,1410.2,1435.6
D,2014-07-06,02,1312.1,1335.2
D,2014-07-06,03,1248.6,1276.6
D,2014-07-06,04,1229.0,1240.1
D,2014-07-06,05,1219.0,1228.7
D,2014-07-06,06,1226.1,1217.9
D,2014-07-06,07,1260.1,1268.1
D,2014-07-06,08,1357.5,1391.2
D,2014-07-06,09,1543.7,1554.1
D,2014-07-06,10,1684.7,1704.8
D,2014-07-06,11,1815.5,1824.1
D,2014-07-06,12,1925.8,1918.4
D,2014-07-06,13,1995.9,1980.4
D,2014-07-06,14,2032.8,2025.4
D,2014-07-06,15,2076.9,2061.6
D,2014-07-06,16,2131.6,2126.1
D,2014-07-06,17,2156.9,2197.4
D,2014-07-06,18,2174.2,2259.4
D,2014-07-06,19,2107.6,2252.5
D,2014-07-06,20,2048.5,2177.0
D,2014-07-06,21,2055.2,2152.3
D,2014-07-06,22,1988.7,2101.4
D,2014-07-06,23,1784.3,1929.6
D,2014-07-06,24,1586.0,1727.5
D,2014-07-07,01,1540.8,1576.2
D,2014-07-07,02,1440.9,1492.5
D,2014-07-07,03,1395.2,1439.2
D,2014-07-07,04,1364.7,1417.5
D,2014-07-07,05,1390.8,1442.5
D,2014-07-07,06,1477.0,1505.8
D,2014-07-07,07,1616.1,1658.5
D,2014-07-07,08,1846.1,1857.3
D,2014-07-07,09,2006.9,1982.4
D,2014-07-07,10,2164.8,2100.8
D,2014-07-07,11,2278.5,2233.7
D,2014-07-07,12,2394.3,2363.3
D,2014-07-07,13,2471.6,2467.3
D,2014-07-07,14,2539.8,2544.8
D,2014-07-07,15,2618.5,2611.9
D,2014-07-07,16,2671.7,2664.9
D,2014-07-07,17,2682.8,2713.4
D,2014-07-07,18,2670.1,2728.4
D,2014-07-07,19,2601.9,2680.1
D,2014-07-07,20,2513.5,2600.7
D,2014-07-07,21,2531.2,2561.9
D,2014-07-07,22,2410.3,2445.3
D,2014-07-07,23,2095.7,2195.3
D,2014-07-07,24,1831.2,1938.5
D,2014-07-08,01,1683.3,1751.1
D,2014-07-08,02,1581.7,1635.8
D,2014-07-08,03,1512.8,1571.1
D,2014-07-08,04,1476.5,1544.2
D,2014-07-08,05,1500.7,1557.7
D,2014-07-08,06,1578.7,1617.4
D,2014-07-08,07,1771.4,1804.5
D,2014-07-08,08,1992.1,2041.8
D,2014-07-08,09,2149.9,2226.4
D,2014-07-08,10,2332.3,2379.8
D,2014-07-08,11,2505.1,2549.1
D,2014-07-08,12,2652.8,2690.3
D,2014-07-08,13,2729.0,2792.2
D,2014-07-08,14,2800.0,2891.6
D,2014-07-08,15,2828.7,2949.6
D,2014-07-08,16,2837.8,2993.7
D,2014-07-08,17,2823.0,3016.6
D,2014-07-08,18,2781.8,2987.0
D,2014-07-08,19,2678.5,2906.3
D,2014-07-08,20,2584.7,2787.4
D,2014-07-08,21,2587.4,2732.3
D,2014-07-08,22,2470.0,2596.7
D,2014-07-08,23,2182.8,2323.9
D,2014-07-08,24,1929.5,2058.8
D,2014-07-09,01,1823.0,1877.4
D,2014-07-09,02,1709.0,1763.0
D,2014-07-09,03,1648.1,1687.9
D,2014-07-09,04,1599.4,1642.1
D,2014-07-09,05,1618.9,1639.7
D,2014-07-09,06,1689.6,1694.1
D,2014-07-09,07,1833.3,1864.6
D,2014-07-09,08,2038.0,2089.5
D,2014-07-09,09,2166.8,2266.6
D,2014-07-09,10,2308.7,2425.8
D,2014-07-09,11,2456.1,2521.1
D,2014-07-09,12,2554.7,2624.2
D,2014-07-09,13,2625.6,2712.1
D,2014-07-09,14,2687.3,2785.6
D,2014-07-09,15,2733.5,2806.8
D,2014-07-09,16,2733.0,2846.1
D,2014-07-09,17,2733.6,2864.3
D,2014-07-09,18,2688.3,2852.6
D,2014-07-09,19,2639.2,2784.2
D,2014-07-09,20,2590.4,2671.4
D,2014-07-09,21,2548.8,2620.9
D,2014-07-09,22,2424.6,2508.6
D,2014-07-09,23,2181.9,2253.8
D,2014-07-09,24,1919.0,2002.1
D,2014-07-10,01,1689.1,1812.8
D,2014-07-10,02,1570.1,1693.1
D,2014-07-10,03,1505.9,1623.0
D,2014-07-10,04,1461.8,1582.8
D,2014-07-10,05,1464.8,1582.2
D,2014-07-10,06,1549.8,1640.3
D,2014-07-10,07,1694.0,1787.8
D,2014-07-10,08,1875.5,1975.4
D,2014-07-10,09,2017.9,2114.7
D,2014-07-10,10,2134.9,2236.4
D,2014-07-10,11,2268.2,2335.9
D,2014-07-10,12,2364.4,2411.9
D,2014-07-10,13,2435.2,2466.5
D,2014-07-10,14,2477.7,2524.7
D,2014-07-10,15,2506.7,2534.0
D,2014-07-10,16,2534.5,2524.6
D,2014-07-10,17,2518.8,2536.6
D,2014-07-10,18,2483.0,2576.9
D,2014-07-10,19,2438.3,2549.5
D,2014-07-10,20,2358.1,2461.9
D,2014-07-10,21,2358.5,2415.5
D,2014-07-10,22,2243.4,2313.1
D,2014-07-10,23,1992.4,2067.8
D,2014-07-10,24,1759.7,1822.2
D,2014-07-11,01,1644.4,1654.2
D,2014-07-11,02,1534.9,1529.2
D,2014-07-11,03,1436.1,1459.9
D,2014-07-11,04,1389.0,1427.8
D,2014-07-11,05,1395.9,1439.0
D,2014-07-11,06,1468.2,1498.9
D,2014-07-11,07,1609.8,1634.6
D,2014-07-11,08,1793.5,1803.4
D,2014-07-11,09,1924.6,1942.9
D,2014-07-11,10,2043.6,2069.8
D,2014-07-11,11,2122.3,2168.4
D,2014-07-11,12,2187.4,2250.0
D,2014-07-11,13,2239.5,2317.5
D,2014-07-11,14,2273.5,2379.9
D,2014-07-11,15,2304.0,2410.8
D,2014-07-11,16,2324.6,2436.5
D,2014-07-11,17,2321.6,2442.1
D,2014-07-11,18,2299.7,2414.1
D,2014-07-11,19,2226.3,2339.3
D,2014-07-11,20,2173.2,2245.9
D,2014-07-11,21,2152.7,2201.0
D,2014-07-11,22,2048.3,2123.8
D,2014-07-11,23,1873.6,1924.1
D,2014-07-11,24,1663.5,1710.7
D,2014-07-12,01,1435.9,1536.6
D,2014-07-12,02,1332.1,1425.3
D,2014-07-12,03,1272.1,1359.4
D,2014-07-12,04,1236.5,1316.6
D,2014-07-12,05,1228.5,1306.1
D,2014-07-12,06,1215.4,1307.5
D,2014-07-12,07,1284.7,1385.2
D,2014-07-12,08,1438.6,1546.8
D,2014-07-12,09,1657.3,1730.4
D,2014-07-12,10,1814.3,1885.0
D,2014-07-12,11,1915.3,2013.7
D,2014-07-12,12,1979.0,2120.3
D,2014-07-12,13,2027.2,2195.3
D,2014-07-12,14,2085.6,2250.1
D,2014-07-12,15,2111.9,2308.1
D,2014-07-12,16,2134.6,2362.7
D,2014-07-12,17,2137.5,2411.4
D,2014-07-12,18,2144.0,2436.8
D,2014-07-12,19,2130.1,2394.5
D,2014-07-12,20,2071.4,2292.2
D,2014-07-12,21,2052.0,2234.2
