C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20120813_20120926.csv
C,Time period: 2012-08-13 to 2012-09-26
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:11:18 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2012-08-13,01,1687.6,1862.5
D,2012-08-13,02,1577.2,1741.1
D,2012-08-13,03,1502.8,1664.9
D,2012-08-13,04,1470.1,1623.8
D,2012-08-13,05,1486.3,1625.8
D,2012-08-13,06,1553.2,1701.4
D,2012-08-13,07,1668.0,1833.3
D,2012-08-13,08,1864.1,2050.8
D,2012-08-13,09,2069.4,2254.9
D,2012-08-13,10,2151.0,2431.1
D,2012-08-13,11,2326.9,2581.3
D,2012-08-13,12,2404.1,2699.8
D,2012-08-13,13,2484.2,2778.2
D,2012-08-13,14,2580.8,2845.1
D,2012-08-13,15,2657.5,2896.9
D,2012-08-13,16,2576.6,2898.0
D,2012-08-13,17,2576.0,2932.1
D,2012-08-13,18,2566.3,2920.0
D,2012-08-13,19,2421.3,2853.2
D,2012-08-13,20,2440.5,2770.9
D,2012-08-13,21,2442.4,2758.4
D,2012-08-13,22,2262.4,2569.0
D,2012-08-13,23,2035.9,2285.5
D,2012-08-13,24,1810.0,2015.2
D,2012-08-14,01,1731.7,1811.3
D,2012-08-14,02,1603.6,1676.1
D,2012-08-14,03,1521.7,1593.8
D,2012-08-14,04,1478.3,1542.7
D,2012-08-14,05,1490.8,1547.2
D,2012-08-14,06,1548.3,1618.4
D,2012-08-14,07,1657.3,1758.5
D,2012-08-14,08,1915.7,1980.4
D,2012-08-14,09,2124.4,2179.3
D,2012-08-14,10,2304.4,2347.9
D,2012-08-14,11,2368.6,2505.1
D,2012-08-14,12,2464.0,2627.2
D,2012-08-14,13,2535.7,2700.4
D,2012-08-14,14,2650.4,2763.2
D,2012-08-14,15,2663.3,2793.9
D,2012-08-14,16,2622.9,2800.0
D,2012-08-14,17,2633.1,2821.9
D,2012-08-14,18,2637.5,2799.8
D,2012-08-14,19,2468.6,2717.1
D,2012-08-14,20,2409.6,2669.5
D,2012-08-14,21,2450.5,2679.0
D,2012-08-14,22,2296.5,2506.4
D,2012-08-14,23,2072.4,2239.5
D,2012-08-14,24,1842.7,1988.2
D,2012-08-15,01,1692.7,1805.5
D,2012-08-15,02,1570.0,1694.7
D,2012-08-15,03,1499.5,1629.0
D,2012-08-15,04,1453.7,1587.9
D,2012-08-15,05,1465.9,1601.9
D,2012-08-15,06,1526.8,1701.4
D,2012-08-15,07,1629.9,1865.0
D,2012-08-15,08,1842.7,2073.5
D,2012-08-15,09,2031.6,2198.8
D,2012-08-15,10,2236.6,2252.5
D,2012-08-15,11,2282.6,2330.9
D,2012-08-15,12,2364.7,2440.1
D,2012-08-15,13,2424.0,2556.0
D,2012-08-15,14,2577.7,2686.7
D,2012-08-15,15,2597.2,2749.9
D,2012-08-15,16,2606.1,2771.5
D,2012-08-15,17,2604.4,2769.5
D,2012-08-15,18,2465.6,2739.2
D,2012-08-15,19,2419.7,2685.4
D,2012-08-15,20,2276.6,2678.3
D,2012-08-15,21,2472.9,2682.3
D,2012-08-15,22,2244.6,2518.3
D,2012-08-15,23,2042.3,2241.9
D,2012-08-15,24,1791.9,1980.0
D,2012-08-16,01,1691.8,1791.7
D,2012-08-16,02,1566.7,1666.9
D,2012-08-16,03,1478.5,1594.3
