C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4006_20111111_20111225.csv
C,Time period: 2011-11-11 to 2011-12-25
C,Location/Node: .Z.SEMASS
C,Report generated 2015-12-05 23:13:26 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2011-11-11,01,1163.6,1206.1
D,2011-11-11,02,1103.6,1141.7
D,2011-11-11,03,1049.3,1108.6
D,2011-11-11,04,1045.0,1098.4
D,2011-11-11,05,1070.7,1125.3
D,2011-11-11,06,1162.8,1216.2
D,2011-11-11,07,1384.2,1372.9
D,2011-11-11,08,1519.8,1521.8
D,2011-11-11,09,1552.0,1645.8
D,2011-11-11,10,1567.9,1709.8
D,2011-11-11,11,1549.8,1721.1
D,2011-11-11,12,1545.8,1712.9
D,2011-11-11,13,1523.3,1694.0
D,2011-11-11,14,1511.5,1682.7
D,2011-11-11,15,1495.8,1657.7
D,2011-11-11,16,1505.0,1676.1
D,2011-11-11,17,1645.0,1805.0
D,2011-11-11,18,1808.4,1946.4
D,2011-11-11,19,1788.1,1918.1
D,2011-11-11,20,1745.8,1858.9
D,2011-11-11,21,1736.7,1792.7
D,2011-11-11,22,1589.9,1678.8
D,2011-11-11,23,1441.1,1528.0
D,2011-11-11,24,1276.2,1384.3
D,2011-11-12,01,1211.1,1274.0
D,2011-11-12,02,1143.0,1208.6
D,2011-11-12,03,1104.9,1174.9
D,2011-11-12,04,1090.6,1162.9
D,2011-11-12,05,1100.3,1177.2
D,2011-11-12,06,1158.2,1235.4
D,2011-11-12,07,1246.1,1327.8
D,2011-11-12,08,1360.1,1444.8
D,2011-11-12,09,1498.5,1559.3
D,2011-11-12,10,1548.1,1612.0
D,2011-11-12,11,1489.5,1624.4
D,2011-11-12,12,1471.4,1611.9
D,2011-11-12,13,1452.9,1580.9
D,2011-11-12,14,1428.7,1559.3
D,2011-11-12,15,1395.6,1541.1
D,2011-11-12,16,1400.8,1562.2
D,2011-11-12,17,1563.0,1715.3
D,2011-11-12,18,1749.0,1866.7
D,2011-11-12,19,1666.9,1836.4
D,2011-11-12,20,1629.7,1769.9
D,2011-11-12,21,1655.3,1696.5
D,2011-11-12,22,1545.8,1593.1
D,2011-11-12,23,1427.9,1461.6
D,2011-11-12,24,1285.1,1328.0
D,2011-11-13,01,1208.3,1227.2
D,2011-11-13,02,1136.3,1166.0
D,2011-11-13,03,1099.3,1133.0
D,2011-11-13,04,1086.4,1122.1
D,2011-11-13,05,1092.3,1127.6
D,2011-11-13,06,1126.8,1164.7
D,2011-11-13,07,1156.1,1219.2
D,2011-11-13,08,1241.1,1311.7
D,2011-11-13,09,1392.1,1429.3
D,2011-11-13,10,1442.1,1505.2
D,2011-11-13,11,1372.1,1538.0
D,2011-11-13,12,1382.0,1554.0
D,2011-11-13,13,1376.2,1549.4
D,2011-11-13,14,1366.3,1532.0
D,2011-11-13,15,1352.8,1524.2
D,2011-11-13,16,1380.8,1566.5
D,2011-11-13,17,1574.0,1766.9
D,2011-11-13,18,1767.0,1902.9
D,2011-11-13,19,1701.9,1873.0
D,2011-11-13,20,1619.9,1803.8
D,2011-11-13,21,1606.6,1710.5
D,2011-11-13,22,1457.9,1566.9
D,2011-11-13,23,1336.1,1424.6
D,2011-11-13,24,1195.0,1289.3
D,2011-11-14,01,1098.8,1176.2
D,2011-11-14,02,1050.5,1116.7
D,2011-11-14,03,1022.8,1090.8
D,2011-11-14,04,1019.1,1084.6
D,2011-11-14,05,1061.6,1123.7
D,2011-11-14,06,1143.8,1248.6
D,2011-11-14,07,1398.5,1470.6
D,2011-11-14,08,1532.6,1588.3
D,2011-11-14,09,1583.7,1626.9
D,2011-11-14,10,1591.9,1652.6
D,2011-11-14,11,1575.4,1679.0
D,2011-11-14,12,1576.6,1688.0
D,2011-11-14,13,1599.7,1684.5
D,2011-11-14,14,1593.1,1681.0
D,2011-11-14,15,1578.1,1662.7
D,2011-11-14,16,1592.8,1687.2
D,2011-11-14,17,1666.2,1863.6
D,2011-11-14,18,1794.3,1994.6
D,2011-11-14,19,1788.8,1971.7
D,2011-11-14,20,1717.7,1908.8
D,2011-11-14,21,1683.2,1809.7
D,2011-11-14,22,1513.5,1644.8
D,2011-11-14,23,1352.6,1461.6
D,2011-11-14,24,1195.8,1290.9
D,2011-11-15,01,1124.7,1183.2
D,2011-11-15,02,1067.6,1128.5
D,2011-11-15,03,1042.2,1098.9
D,2011-11-15,04,1041.4,1093.6
D,2011-11-15,05,1080.9,1127.6
D,2011-11-15,06,1167.7,1255.6
D,2011-11-15,07,1441.1,1479.6
D,2011-11-15,08,1561.6,1598.4
D,2011-11-15,09,1589.1,1646.6
D,2011-11-15,10,1599.2,1678.3
D,2011-11-15,11,1580.1,1694.7
D,2011-11-15,12,1583.4,1710.6
D,2011-11-15,13,1569.6,1696.4
D,2011-11-15,14,1566.1,1708.8
D,2011-11-15,15,1548.5,1696.9
D,2011-11-15,16,1562.5,1721.7
D,2011-11-15,17,1698.9,1868.9
D,2011-11-15,18,1825.6,1988.2
D,2011-11-15,19,1818.7,1969.9
D,2011-11-15,20,1783.6,1910.7
D,2011-11-15,21,1727.5,1811.5
D,2011-11-15,22,1559.6,1655.6
D,2011-11-15,23,1399.6,1457.0
